transposal |The act of transposing, or the state of being transposed; transposition.
tribe |1. A family, race, or series of generations, descending from the same progenitor, and kept distinct, as in the case of the twelve tribes of Israel, descended from the twelve sons of Jacob. \"The Lion of the tribe of Juda.\" Rev. v. 5. A wealthy Hebrew of my tribe. Shak. 2. (Bot.)  A number of species or genera having certain structural characteristics in common; as, a tribe of plants; a tribe of animals. Note: By many recent naturalists, tribe has been used for a group of animals or plants intermediate between order and genus.family is between order and genus. 3. A nation of savages or uncivilized people; a body of rude people united under one leader or government; as, the tribes of the Six Nations; the Seneca tribe. 4. A division, class, or distinct portion of a people, from whatever cause that distinction may have originated; as, the city of Athens was divided into ten tribes. 5. (Stock Breeding)  A family of animals descended from some particular female progenitor, through the female line; as, the Duchess tribe of shorthorns.\n\nTo distribute into tribes or classes. [R.] Our fowl, fish, and quadruped are well tribed. Abp. Nicolson.
triblet |1. A goldsmith's tool used in making rings. Ainsworth. 2. A steel cylinder round which metal is drawn in the process of forming tubes. Tomlinson. 3. (Blacksmithing)  A tapering mandrel.
tribolet |1. A goldsmith's tool used in making rings. Ainsworth. 2. A steel cylinder round which metal is drawn in the process of forming tubes. Tomlinson. 3. (Blacksmithing)  A tapering mandrel.
tribometer |An instrument to ascertain the degree of friction in rubbing surfaces. Brande & C.
tribrach |A poetic foot of three short syllables, as, mèlì\\'dcs.
tribracteate |Having three bracts.
tribromophenol |A colorless crystalline substance prepared by the reaction of carbolic acid with bromine.
tribromphenol |A colorless crystalline substance prepared by the reaction of carbolic acid with bromine.
tribual |Of or relating to a tribe; tribal; as, a tribual characteristic; tribular worship. [R.] The tribual lispings of the Ephraimites. Fuller.
tribular |Of or relating to a tribe; tribal; as, a tribual characteristic; tribular worship. [R.] The tribual lispings of the Ephraimites. Fuller.
tribulation |That which occasions distress, trouble, or vexation; severe affliction. When tribulation or persecution ariseth because of the word, by and by he is offended. Matt. xiii. 21. In the world ye shall have tribulation. John. xvi. 33.
tribunal |1. The seat of a judge; the bench on which a judge and his associates sit for administering justice. 2. Hence, a court or forum; as, the House of Lords, in England, is the highest tribunal in the kingdom.
tribunary |Of or pertaining to tribunes; as, tribunary powers or authority.
tribunate |The state or office of a tribune; tribuneship.
tribune |1. (Rom. Antiq.)  An officer or magistrate chosen by the people, to protect them from the oppression of the patricians, or nobles, and to defend their liberties against any attempts that might be made upon them by the senate and consuls. Note: The tribunes were at first two, but their number was increased ultimately to ten. There were also military tribunes, officers of the army, of whom there were from four to six in each legion. Other officers were also called tribunes; as, tribunes of the treasury, etc. 2. Anciently, a bench or elevated place, from which speeches were delivered; in France, a kind of pulpit in the hall of the legislative assembly, where a member stands while making an address; any place occupied by a public orator.
tribuneship |The office or power of a tribune.
tribunician |Of or pertaining to tribunes; befitting a tribune; as, tribunitial power or authority. Dryden. A kind of tribunician veto, forbidding that which is recognized to be wrong. Hare.
tribunitial |Of or pertaining to tribunes; befitting a tribune; as, tribunitial power or authority. Dryden. A kind of tribunician veto, forbidding that which is recognized to be wrong. Hare.
tribunitian |Of or pertaining to tribunes; befitting a tribune; as, tribunitial power or authority. Dryden. A kind of tribunician veto, forbidding that which is recognized to be wrong. Hare.
tribunitious |Tribunician; tribunitial. [Obs.] Bacon.
tributarily |In a tributary manner.
tributariness |The quality or state of being tributary.
tributary |1. Paying tribute to another, either from compulsion, as an acknowledgment of submission, or to secure protection, or for the purpose of purchasing peace. [Julius] unto Rome made them tributary. Chaucer. 2. Hence, subject; subordinate; inferior. He to grace his tributary gods. Milton. 3. Paid in tribute. \"Tributary tears.\" Shak. 4. Yielding supplies of any kind; serving to form or make up, a greater object of the same kind, as a part, branch, etc.; contributing; as, the Ohio has many tributary streams, and is itself tributary to the Mississippi.\n\n1. A ruler or state that pays tribute, or a stated sum, to a conquering power, for the purpose of securing peace and protection, or as an acknowledgment of submission, or for the purchase of security. 2. A stream or river flowing into a larger river or into a lake; an affluent.
tribute |1. An annual or stated sum of money or other valuable thing, paid by one ruler or nation to another, either as an acknowledgment of submission, or as the price of peace and protection, or by virtue of some treaty; as, the Romans made their conquered countries pay tribute. Millions for defense, but not one cent for tribute. C. C. Pinckney. 2. A personal contribution, as of money, praise, service, etc., made in token of services rendered, or as that which is due or deserved; as, a tribute of affection. Implores the passing tribute of a sigh. Gray. 3. (Mining)  A certain proportion of the ore raised, or of its value, given to the miner as his recompense. Pryce. Tomlinson. Tribute money, money paid as a tribute or tax. -- Tribute pitch. (Mining) See under Tributer. [Eng.] Syn. -- See Subsidy.\n\nTo pay as tribute. [R.] Whitlock (1654).
tributer |One who works for a certain portion of the ore, or its value. [Eng.] Note: Tributers generally work in gangs, and have a limited portion of a lode set them, called a tribute pitch, beyond which they are not permitted to work, and for which they receive a certain portion of the ore, or so much per pound, as agreed upon, of the value of what they raise. Weale.
trica |An apothecium in certain lichens, having a spherical surface marked with spiral or concentric ridges and furrows.
tricarballylic |Of, pertaining to, or designating, a complex tribasic organic acid, C3H5.(CO2H)3 occurring naturally in unripe beet roots, and produced artificially from glycerin as a white crystalline substance.
tricarbimide |See under Cyanuric.
trice |1. To pull; to haul; to drag; to pull away. [Obs.] Out of his seat I will him trice. Chaucer. 2. (Naut.)  To haul and tie up by means of a rope.\n\nA very short time; an instant; a moment; -- now used only in the phrase in a trice. \"With a trice.\" Turbervile. \" On a trice.\" Shak. A man shall make his fortune in a trice. Young.
tricennarious |Of or pertaining to thirty years; tricennial. [R.]
tricennial |Of or pertaining to thirty years; consisting of thirty years; occurring once in every thirty years.
tricentenary |Including, or relating to, the interval of three hundred years; tercentenary. -- n.  A period of three centuries, or three hundred years, also, the three-hundredth anniversary of any event; a tercentenary.
triceps |A muscle having three heads; specif., the great extensor of the forearm, arising by three heads and inserted into the olecranon at the elbow.
trichiasis |A disease of the eye, in which the eyelashes, being turned in upon the eyeball, produce constant irritation by the motion of the lids.
trichina |A small, slender nematoid worm (Trichina spiralis) which, in the larval state, is parasitic, often in immense numbers, in the voluntary muscles of man, the hog, and many other animals. When insufficiently cooked meat containing the larvæ is swallowed by man, they are liberated and rapidly become adult, pair, and the ovoviviparous females produce in a short time large numbers of young which find their way into the muscles, either directly, or indirectly by means of the blood. Their presence in the muscles and the intestines in large numbers produces trichinosis.
trichiniasis |Trichinosis.
trichinize |To render trichinous; to affect with trichinæ; -- chiefly used in the past participle; as, trichinized pork.
trichinoscope |An apparatus for the detection of trichinæ in the flesh of animals, as of swine.
trichinosis |The disease produced by the presence of trichinæ in the muscles and intestinal track. It is marked by fever, muscular pains, and symptoms resembling those of typhoid fever, and is frequently fatal.
trichinous |Of or pertaining to trichinæ or trichinosis; affected with, or containing, trichinæ; as, trichinous meat.
trichite |1. (Min.)  A kind of crystallite resembling a bunch of hairs, common in obsidian. See Illust. of Crystallite. 2. (Zoöl.)  A delicate, hairlike siliceous spicule, found in certain sponges. Trichite sheaf (Zoöl.), one of the small sheaflike fascicles of slender setæ characteristic of certain sponges. See Illust. under Spicule.
trichiuriform |Like or pertaining to the genus Trichiurus or family Trichiuridæ, comprising the scabbard fishes and hairtails.
trichiuroid |Of, like, or pertaining to, Trichiurus.
trichiurus |A genus of fishes comprising the hairtails. See Hairtail.
trichloride |A chloride having three atoms of chlorine in the molecule.
trichobranchia |The gill of a crustacean in which the branchial filaments are slender and cylindrical, as in the crawfishes.
trichocyst |A lasso cell.
trichogyne |The slender, hairlike cell which receives the fertilizing particles, or antherozoids, in red seaweeds. -- Trich`o*gyn\"ic, a.
trichomanes |Any fern of the genus Trichomanes. The fronds are very delicate and often translucent, and the sporangia are borne on threadlike receptacles rising from the middle of cup-shaped marginal involucres. Several species are common in conservatories; two are native in the United States.
trichomatose |Affected with a disease which causes agglutination and matting together; -- said of the hair when affected with plica. See Plica, 1.
trichome |A hair on the surface of leaf or stem, or any modification of a hair, as a minute scale, or star, or gland. The sporangia of ferns are believed to be of the nature of trichomes. -- Tri*chom\"a*tous, a.
trichophore |1. (Bot.)  The special cell in red algæ which produces or bears a trichogyne. See Illust. of Trichogyne. 2. (Zoöl.)  One of the saclike organs from which the setæ of annelids arise. -- Trich`o*phor\"ic, a.
trichopter |One of the Trichoptera.
trichoptera |A suborder of Neuroptera usually having the wings covered with minute hairs. It comprises the caddice flies, and is considered by some to be a distinct order.
trichopteran |One of the Trichoptera.
trichopterous |Of, pertaining to, or characterizing, the Trichoptera.
trichord |An instrument, as a lyre or harp, having three strings.
trichoscolices |An extensive group of wormlike animals characterized by being more or less covered with cilia.
trichotomous |Divided into three parts, or into threes; three-forked; as, a trichotomous stem. Martyn.
trichotomy |Division into three parts.
trichroic |Exhibiting trichroism; pleochroic; pleochroism.
trichroism |The quality possessed by some crystals of presenting different colors in three different directions.
trichromatic |Having or existing in three different phases of color; having three distinct color varieties; -- said of certain birds and insects.
trichromatism |The quality, state, or phenomenon of being trichromatic.
trichromic |If, pertaining to, or consisting of, three colors or color sensations.\n\nContaining three atoms of chromium.
tricipital |Having three heads, or three origins; as, a tricipital muscle.
trick |1. An artifice or stratagem; a cunning contrivance; a sly procedure, usually with a dishonest intent; as, a trick in trade. tricks of the trade mean simply specialized knowledge, in a good or neutral sense. He comes to me for counsel, and I show him a trick. South. I know a trick worth two of that. Shak. 2. A sly, dexterous, or ingenious procedure fitted to puzzle or amuse; as, a bear's tricks; a juggler's tricks. 3. Mischievous or annoying behavior; a prank; as, the tricks of boys. Prior. 4. A particular habit or manner; a peculiarity; a trait; as, a trick of drumming with the fingers; a trick of frowning. The trick of that voice I do well remember. Shak. He hath a trick of Coeur de Lion's face. Shak. 5. A knot, braid, or plait of hair. [Obs.] B. Jonson. 6. (Card Playing)  The whole number of cards played in one round, and consisting of as many cards as there are players. On one nice trick depends the general fate. Pope. 7. (Naut.)  A turn; specifically, the spell of a sailor at the helm, -- usually two hours. 8. A toy; a trifle; a plaything. [Obs.] Shak. Syn. -- Stratagem; wile; fraud; cheat; juggle; finesse; sleight; deception; imposture; delusion; imposition.\n\n1. To deceive by cunning or artifice; to impose on; to defraud; to cheat; as, to trick another in the sale of a horse. 2. To dress; to decorate; to set off; to adorn fantastically; -- often followed by up, off, or out. \" Trick her off in air.\" Pope. People lavish it profusely in tricking up their children in fine clothes, and yet starve their minds. Locke. They are simple, but majestic, records of the feelings of the poet; as little tricked out for the public eye as his diary would have been. Macaulay. 3. To draw in outline, as with a pen; to delineate or distinguish without color, as arms, etc., in heraldry. They forget that they are in the statutes: . . . there they are tricked, they and their pedigrees. B. Jonson.
tricker |One who tricks; a trickster.\n\nA trigger. [Obs. or Prov. Eng.] Boyle.
trickery |The art of dressing up; artifice; stratagem; fraud; imposture.
trickiness |The quality of being tricky.
tricking |Given to tricks; tricky. Sir W. Scott.\n\nDress; ornament. Shak.
trickish |Given to tricks; artful in making bargains; given to deception and cheating; knavish. -- Trick\"ish*ly, adv. -- Trick\"ish*ness, n.
trickle |To flow in a small, gentle stream; to run in drops. His salt tears trickled down as rain. Chaucer. Fast beside there trickled softly down A gentle stream. Spenser.
trickment |Decoration. [Obs.] \" No trickments but my tears.\" Beau. & Fl.
tricksiness |The quality or state of being tricksy; trickiness. G. Eliot.
trickster |One who tricks; a deceiver; a tricker; a cheat.
tricksy |Exhibiting artfulness; trickish. \"My tricksy spirit!\" Shak. he tricksy policy which in the seventeenth century passed for state wisdom. Coleridge.
tricktrack |An old game resembling backgammon.
tricky |Given to tricks; practicing deception; trickish; knavish.
triclinate |Triclinic.
tricliniary |Of or pertaining to a triclinium, or to the ancient mode of reclining at table.
triclinic |Having, or characterized by, three unequal axes intersecting at oblique angles. See the Note under crystallization.
triclinium |(a) A couch for reclining at meals, extending round three sides of a table, and usually in three parts. (b) A dining room furnished with such a triple couch.
tricoccous |Having three cocci, or roundish carpels. Gray.
tricolor |1. The national French banner, of three colors, blue, white, and red, adopted at the first revolution. 2. Hence, any three-colored flag.
tricolored |Having three colors.
tricornigerous |Having three horns.
tricorporal |Represented with three bodies conjoined to one head, as a lion.
tricorporate |Represented with three bodies conjoined to one head, as a lion.
tricostate |Three-ribbed; having three ribs from the base.
tricot |A fabric of woolen, silk, or cotton knitted, or women to resemble knitted work.
tricrotic |Of or pertaining to tricrotism; characterized by tricrotism.
tricrotism |That condition of the arterial pulse in which there is a triple beat. The pulse curve obtained in the sphygmographic tracing characteristic of tricrotism shows two secondary crests in addition to the primary.
tricrotous |Tricrotic.
tricurvate |Curved in three directions; as, a tricurvate spicule (see Illust. of Spicule).
tricuspid |1. Having three cusps, or points; tricuspidate; as, a tricuspid molar. 2. (Anat.)  Of or pertaining to the tricuspid valves; as, tricuspid obstruction. Tricuspid valve (Anat.), the valve, consisting of three triangular membranous flaps, at the opening of the right auricle into the right ventricle in the heart of most mammals; -- sometimes called the tricuspid valves, each flap being regarded as a valve.
tricuspidate |Three-pointed; ending in three points; as, a tricuspidate leaf.
tricycle |A three-wheeled velocipede. See Illust. under Velocipede. Cf. Bicycle.
tridacna |A genus of very large marine bivalve shells found on the coral reefs of the Indian and Pacific Oceans. One species (T. gigas) often weighs four or five hundred pounds, and is sometimes used for baptismal fonts. Called also paw shell, and fountain shell.
tridactyl |Having three fingers or toes, or composed of three movable parts attached to a common base.
tridactyle |Having three fingers or toes, or composed of three movable parts attached to a common base.
tridactylous |Tridactyl.
triddler |The jacksnipe. [Local, U.S.]
tride |Short and ready; fleet; as, a tride pace; -- a term used by sportsmen. Bailey.
tridecane |A hydrocarbon, C13H28, of the methane series, which is a probable ingredient both of crude petroleum and of kerosene, and is produced artificially as a light colorless liquid.
tridecatoic |Of, pertaining to, or designating, that acid of the fatty acids heterologous with tridecane. It is a white crystalline substance.
tridecatylene |A hydrocarbon, C13H26, of the ethylene series, corresponding to tridecane, and obtained from Burmah petroleum as a light colorless liquid; -- called also tridecylene, and tridecene.
trident |1. (Class Myth.)  A kind of scepter or spear with three prongs, -- the common attribute of Neptune. 2. (Rom. Antiq.)  A three-pronged spear or goad, used for urging horses; also, the weapon used by one class of gladiators. 3. A three-pronged fish spear. 4. (Geom.)  A curve of third order, having three infinite branches in the direction and a fourth infinite branch in the opposite direction. Trident bat (Zoöl.), an Asiatic rhinolophid bat (Triænops Persicus), having the nose membrane in the shape of a trident.\n\nHaving three teeth or prongs; tridentate.
tridentate |Having three teeth; three-toothed. Lee.
tridentated |Having three teeth; three-toothed. Lee.
tridented |Having three prongs; trident; tridentate; as, a tridented mace. [R.] Quarles.
tridentiferous |Bearing a trident.
tridentine |Of or pertaining to Trent, or the general church council held in that city.
tridiapason |A triple octave, or twenty-second. Busby.
tridimensional |Having three dimensions; extended in three different directions.
triding |A riding. See Trithing.
triduan |Lasting three lays; also, happening every third day. [R.] Blount.
tridymite |Pure silica, like quartz, but crystallizing in hexagonal tables. It is found in trachyte and similar rocks.
tried |imp. & p. p. of Try. Also adj.  Proved; tested; faithful; trustworthy; as, a tried friend.
triedral |See Trihedral.
triennial |1. Continuing three years; as, triennial parliaments; a triennial reign. Howell. 2. Happening, coming about, or appearing once in every three years; as, triennial elections; a triennial catalogue; a triennial visitation. T. Warton.\n\nSomething which takes place or appears once in three years.
triennially |Once in three years.
triens |A Roman copper coin, equal to one third of the as. See 3d As, 2.
trier |1. One who tries; one who makes experiments; one who examines anything by a test or standard. Boyle. 2. One who tries judicially. 3. (Law)  A person appointed according to law to try challenges of jurors; a trior. Burrill. 4. That which tries or approves; a test. Shak.
trierarch |(a) The commander of a trireme. (b) At Athens, one who (singly, or jointly with other citizens) had to fit out a trireme for the public service.
trierarchy |The office duty of a trierarch.
trieterical |Kept or occurring once in three years; triennial. [R.] J. Gregory.
trieterics |Festival games celebrated once in three years. [R.] May.
triethylamine |A tertiary amine analogous to trimethylamine.
trifacial |See Trigeminal.
trifallow |To plow the third time before sowing, as land. Mortimer.
trifarious |Facing three ways; arranged in three vertical ranks, as the leaves of veratrum.
trifasciated |Having, or surrounded by, three fasciæ, or bands.
trifid |Cleft to the middle, or slightly beyond the middle, into three parts; three-cleft.
trifistulary |Having three pipes. Sir T. Browne.
trifle |1. A thing of very little value or importance; a paltry, or trivial, affair. With such poor trifles playing. Drayton. Trifles light as air Are to the jealous confirmation strong As proofs of holy writ. Shak. Small sands the mountain, moments make year, And frifles life. Young. 2. A dish composed of sweetmeats, fruits, cake, wine, etc., with syllabub poured over it.\n\nTo act or talk without seriousness, gravity, weight, or dignity; to act or talk with levity; to indulge in light or trivial amusements. They trifle, and they beat the air about nothing which toucheth us. Hooker. To trifle with, to play the fool with; to treat without respect or seriousness; to mock; as, to trifle with one's feelings, or with sacred things.\n\n1. To make of no importance; to treat as a trifle. [Obs.] Shak. 2. To spend in vanity; to fritter away; to waste; as, to trifle away money. \"We trifle time.\" Shak.
trifler |One who trifles. Waterland.
trifling |Being of small value or importance; trivial; paltry; as, a trifling debt; a trifling affair. -- Tri\"fling*ly, adv. -- Tri\"fling*ness, n.
trifloral |Three-flowered; having or bearing three flowers; as, a triflorous peduncle.
triflorous |Three-flowered; having or bearing three flowers; as, a triflorous peduncle.
trifluctuation |A concurrence of three waves. [Obs.] \"A trifluctuation of evils.\" Sir T. Browne.
trifoliate |Having three leaves or leaflets, as clover. See Illust. of Shamrock.
trifoliated |Having three leaves or leaflets, as clover. See Illust. of Shamrock.
trifoliolate |(Bot.) Having three leaflets.
trifolium |A genus of leguminous herbs with densely spiked flowers and usually trifoliate leaves; trefoil. There are many species, all of which are called clover. See Clover.
trifoly |Sweet trefoil. [Obs.] She was crowned with a chaplet of trifoly. B. Jonson.
triforium |The gallery or open space between the vaulting and the roof of the aisles of a church, often forming a rich arcade in the interior of the church, above the nave arches and below the clearstory windows.
triform |Having a triple form or character. \"This triform antagonism.\" I. Taylor. Goddess Triform, I own thy triple spell. Lowell.
triformity |The state of being triform, or of having a threefold shape.
trifurcate |Having three branches or forks; trichotomous.
trifurcated |Having three branches or forks; trichotomous.
trig |To fill; to stuff; to cram. [Obs.] Dr. H. More.\n\nFull; also, trim; neat. [Prov. Eng. & Scot.] To sit on a horse square and trig. Brit. Quart. Rev.\n\nTo stop, as a wheel, by placing something under it; to scotch; to skid.\n\nA stone, block of wood, or anything else, placed under a wheel or barrel to prevent motion; a scotch; a skid. [Eng.] Wright.
trigamist |One who has been married three times; also, one who has three husbands or three wives at the same time.
trigamous |Having three sorts of flowers in the same head, -- male, female, and hermaphrodite, or perfect, flowers.
trigamy |The act of marrying, or the state of being married, three times; also, the offense of having three husbands or three wives at the same time.
trigastric |Having three bellies; -- said of a muscle. Dunglison.
trigeminal |Of, pertaining to, or designating, the fifth pair of cranial nerves, which divide on each side of the head into three main branches distributed to the orbits, jaws, and parts of the mouth; trifacial.
trigeminous |Born three together; being one of three born at the same birth; also, threefold. E. Phillip
trigenic |Of, pertaining to, or designating, an acid, C4H7N3O2, obtained, by the action of the vapor of cyanic acid on cold aldehyde, as a white crystalline substance having a slightly acid taste and faint smell; -- called also ethidene- or ethylidene-biuret.
triger process |A method of sinking through water-bearing ground, in which the shaft is lined with tubbing and provided with an air lock, work being proceeded with under air pressure.
trigesimo-secundo |Having thirty-two leaves to a sheet; as, a trigesimo-secundo form, book, leaf, size, etc.\n\nA book composed of sheets so folded that each one makes thirty- two leaves; hence, indicating, more or less definitely, a size of book; -- usually written 32mo, or 32º, and called thirty-twomo.
trigger |1. A catch to hold the wheel of a carriage on a declivity. 2. (Mech.)  A piece, as a lever, which is connected with a catch or detent as a means of releasing it; especially (Firearms), the part of a lock which is moved by the finger to release the cock and discharge the piece. Trigger fish (Zoöl.), a large plectognath fish (Balistes Carolinensis or B. capriscus) common on the southern coast of the United States, and valued as a food fish in some localities. Its rough skin is used for scouring and polishing in the place of sandpaper. Called also leather jacket, and turbot.
trigintal |A trental.
triglyceride |A glyceride formed by the replacement of three hydrogen atoms in glycerin by acid radicals.
triglyph |An ornament in the frieze of the Doric order, repeated at equal intervals. Each triglyph consists of a rectangular tablet, slightly projecting, and divided nearly to the top by two parallel and perpendicular gutters, or channels, called glyphs, into three parts, or spaces, called femora. A half channel, or glyph, is also cut upon each of the perpendicular edges of the tablet. See Illust. of Entablature.
triglyphic |1. Consisting of, or pertaining to, triglyphs. 2. Containing three sets of characters or sculptures.
triglyphical |1. Consisting of, or pertaining to, triglyphs. 2. Containing three sets of characters or sculptures.
trigness |The quality or state of being trig; smartness; neatness. Their spars had no man-of-war trigness. Kane.
trigon |1. A figure having three angles; a triangle. 2. (Astrol.) (a) A division consisting of three signs. (b) Trine, an aspect of two planets distant 120 degrees from each other. Hutton. 3. (Gr. & Rom. Antiq.) (a) A kind of triangular lyre or harp. (b) A kind of game at ball played by three persons standing at the angular points of a triangle.\n\nThe cutting region of the crown of an upper molar, usually the anterior part. That of a lower molar is the Tri\"go*nid.
trigonal |Having three angles, or corners; triangular; as, a trigonal stem, one having tree prominent longitudinal angles.
trigone |A smooth triangular area on the inner surface of the bladder, limited by the apertures of the ureters and urethra.
trigonia |A genus of pearly bivalve shells, numerous extinct species of which are characteristic of the Mesozoic rocks. A few living species exist on the coast of Australia.
trigonid |The cutting region of the crown of an upper molar, usually the anterior part. That of a lower molar is the Tri\"go*nid.
trigonocerous |Having horns with three angles, like those of some species of goats.
trigonodont |See Trituberculy.
trigonometric |Of or pertaining to trigonometry; performed by the rules of trigonometry. --Trig`o*no*met\"ric*al*ly, adv. Trigonometrical curve, a curve one of whose coördinates is a trigonometric function of the other. -- Trigonometrical function. See under Function. -- Trigonometrical lines, lines which are employed in solving the different cases of plane and spherical trigonometry, as sines, tangents, secants, and the like. These lines, or the lengths of them, are trigonometrical functions of the arcs and angles to which they belong. -- Trigonometrical survey. See under Survey.
trigonometrical |Of or pertaining to trigonometry; performed by the rules of trigonometry. --Trig`o*no*met\"ric*al*ly, adv. Trigonometrical curve, a curve one of whose coördinates is a trigonometric function of the other. -- Trigonometrical function. See under Function. -- Trigonometrical lines, lines which are employed in solving the different cases of plane and spherical trigonometry, as sines, tangents, secants, and the like. These lines, or the lengths of them, are trigonometrical functions of the arcs and angles to which they belong. -- Trigonometrical survey. See under Survey.
trigonometry |1. That branch of mathematics which treats of the relations of the sides and angles of triangles, which the methods of deducing from certain given parts other required parts, and also of the general relations which exist between the trigonometrical functions of arcs or angles. 2. A treatise in this science. Analytical trigonometry, that branch of trigonometry which treats of the relations and properties of the trigonometrical functions. -- Plane trigonometry, and Spherical trigonometry, those branches of trigonometry in which its principles are applied to plane triangles and spherical triangles respectively.
trigonous |Same as Trigonal.
trigram |Same as Trigraph.
trigrammatic |Containing three letters or characters, or three sets of letters or characters.
trigrammic |Same as Trigrammatic.
trigraph |Three letters united in pronunciation so as to have but one sound, or to form but one syllable, as -ieu in adieu; a triphthong.
trigyn |Any one of the Trigynia.
trigynia |A Linnæan order of plants having three pistils or styles.
trigynian |Having three pistils or styles; of or pertaining to the Trigynia.
trigynous |Having three pistils or styles; of or pertaining to the Trigynia.
trihedral |Having three sides or faces; thus, a trihedral angle is a solid angle bounded by three plane angles. [Written also triedral.]
trihedron |A figure having three sides.
trihoral |Occurring once in every three hours.
trihybrid |A hybrid whose parents differ by three pairs of contrasting Mendelian characters.
trijugate |In three pairs; as, a trijugate leaf, or a pinnate leaf with three pairs of leaflets.
trijugous |Same as Trijugate.
trikosane |A hydrocarbon, C23H48, of the methane series, resembling paraffin; -- so called because it has twenty-three atoms of carbon in the molecule.
trilateral |Having three sides; being three-sided; as, a trilateral triangle. -- Tri*lat\"er*al*ly, adv. -- Tri*lat\"er*al*ness, n.
trilemma |1. (Logic)  A syllogism with three conditional propositions, the major premises of which are disjunctively affirmed in the minor. See Dilemma. 2. A state of things in which it is difficult to determine which one of three courses to pursue.
trilinear |Of, pertaining to, or included by, three lines; as, trilinear coördinates.
trilingual |Containing, or consisting of, three languages; expressed in three languages. The much-noted Rosetta stone . . . bears upon its surface a trilingual inscription. I. Taylor.
trilinguar |See Trilingual.
triliteral |Consisting of three letters; trigrammic; as, a triliteral root or word. -- n.  A triliteral word.
triliteralism |Same as Triliterality.
triliterality |The quality of being triliteral; as, the triliterality of Hebrew roots. W. D. Whitney.
triliteralness |The quality of being triliteral; as, the triliterality of Hebrew roots. W. D. Whitney.
trilith |Same as Trilithon. Mollett.
trilithic |Pertaining to a trilith.
trilithon |A monument consisting of three stones; especially, such a monument forming a kind of doorway, as among the ancient Celts.
trill |To flow in a small stream, or in drops rapidly succeeding each other; to trickle. Sir W. Scott. And now and then an ample tear trilled down Her delicate cheek. Shak. Whispered sounds Of waters, trilling from the riven stone. Glover.\n\nTo turn round; to twirl. [Obs.] Gascoigne. Bid him descend and trill another pin. Chaucer.\n\nTo impart the quality of a trill to; to utter as, or with, a trill; as, to trill the r; to trill a note. The sober-suited songstress trills her lay. Thomson.\n\nTo utter trills or a trill; to play or sing in tremulous vibrations of sound; to have a trembling sound; to quaver. To judge of trilling notes and tripping feet. Dryden.\n\n1. A sound, of consonantal character, made with a rapid succession of partial or entire intermissions, by the vibration of some one part of the organs in the mouth -- tongue, uvula, epiglottis, or lip -- against another part; as, the r is a trill in most languages. 2. The action of the organs in producing such sounds; as, to give a trill to the tongue. d 3. (Mus.)  A shake or quaver of the voice in singing, or of the sound of an instrument, produced by the rapid alternation of two contiguous tones of the scale; as, to give a trill on the high C. See Shake.
trillachan |The oyster catcher. [Prov. Eng.]
trilling |1. One of tree children born at the same birth. Wright. 2. (Crystallog.)  A compound crystal, consisting of three individuals.
trillion |According to the French notation, which is used upon the Continent generally and in the United States, the number expressed by a unit with twelve ciphers annexed; a million millions; according to the English notation, the number produced by involving a million to the third power, or the number represented by a unit with eighteen ciphers annexed. See the Note under Numeration.
trillium |A genus of liliaceous plants; the three-leaved nightshade; -- so called because all the parts of the plant are in threes.
trillo |A trill or shake. See Trill.
trilobate |Having three lobes.
trilobation |The state of being trilobate.
trilobed |Same as Trilobate.
trilobita |An extinct order of arthropods comprising the trilobites.
trilobite |Any one of numerous species of extinct arthropods belonging to the order Trilobita. Trilobites were very common in the Silurian and Devonian periods, but became extinct at the close of the Paleozoic. So named from the three lobes usually seen on each segment.
trilobitic |Of, pertaining to or containing, trilobites; as, trilobitic rocks.
trilocular |Having three cells or cavities; as, a trilocular capsule; a trilocular heart.
trilogy |A series of three dramas which, although each of them is in one sense complete, have a close mutual relation, and form one historical and poetical picture. Shakespeare's \" Henry VI.\" is an example. On the Greek stage, a drama, or acted story, consisted in reality of three dramas, called together a trilogy, and performed consecutively in the course of one day. Coleridge.
triluminar |Having three lights [R.]
triluminous |Having three lights [R.]
