divestment |The act of divesting. [R.]
domesday |A day of judgment. See Doomsday. [Obs.] Domesday Book, the ancient record of the survey of most of the lands of England, made by order of William the Conqueror, about 1086. It consists of two volumes, a large folio and a quarto, and gives the proprietors' tenures, arable land, woodland, etc. [Written also Doomsday Book.]
domesman |A judge; an umpire. [Obs.]
domestic |1. Of or pertaining to one's house or home, or one's household or family; relating to home life; as, domestic concerns, life, duties, cares, happiness, worship, servants. His fortitude is the more extraordinary, because his domestic feelings were unusually strong. Macaulay. 4. Of or pertaining to a nation considered as a family or home, or to one's own country; intestine; not foreign; as, foreign wars and domestic dissensions. Shak. 3. Remaining much at home; devoted to home duties or pleasures; as, a domestic man or woman. 4. Living in or near the habitations of man; domesticated; tame as distinguished from wild; as, domestic animals. 5. Made in one's own house, nation, or country; as, domestic manufactures, wines, etc.\n\n1. One who lives in the family of an other, as hired household assistant; a house servant. The master labors and leads an anxious life, to secure plenty and ease to the domestic. V. Knox. 2. pl. (Com.)  Articles of home manufacture, especially cotton goods. [U. S.]
domestical |Domestic. [Obs.] Our private and domestical matter. Sir. P. Sidney.\n\nA family; a household. [Obs.]
domestically |In a domestic manner; privately; with reference to domestic affairs.
domesticant |Forming part of the same family. [Obs.] Sir E. Dering.
domesticate |1. To make domestic; to habituate to home life; as, to domesticate one's self. 2. To cause to be, as it were, of one's family or country; as, to domesticate a foreign custom or word. 3. To tame or reclaim from a wild state; as, to domesticate wild animals; to domesticate a plant.
domestication |The act of domesticating, or accustoming to home; the action of taming wild animals.
domesticator |One who domesticates.
domesticity |The state of being domestic; domestic character; household life.
domett |A kind of baize of which the ward is cotton and the weft woolen. Blakely.
domeykite |A massive mineral of tin-white or steel-gray color, an arsenide of copper.
domical |Relating to, or shaped like, a dome.
domicile |1. An abode or mansion; a place of permanent residence, either of an individual or a family. 2. (Law)  A residence at a particular place accompanied with an intention to remain there for an unlimited time; a residence accepted as a final abode. Wharton.\n\nTo establish in a fixed residence, or a residence that constitutes habitancy; to domiciliate. Kent.
domiciliar |A member of a household; a domestic.
domiciliary |Of or pertaining to a domicile, or the residence of a person or family. The personal and domiciliary rights of the citizen scrupulously guarded. Motley. Domiciliary visit (Law), a visit to a private dwelling, particularly for searching it, under authority.
domiciliate |1. To establish in a permanent residence; to domicile. 2. To domesticate. Pownall.
domiciliation |The act of domiciliating; permanent residence; inhabitancy. Milman.
domiculture |The art of house-keeping, cookery, etc. [R.] R. Park.
domify |1. (Astrol.)  To divide, as the heavens, into twelve houses. See House, in astrological sense. [Obs.] 2. To tame; to domesticate. [Obs.] Johnson.
domina |Lady; a lady; -- a title formerly given to noble ladies who held a barony in their own right. Burrill.
dominance |Predominance; ascendency; authority.
dominancy |Predominance; ascendency; authority.
dominant |Ruling; governing; prevailing; controlling; predominant; as, the dominant party, church, spirit, power. The member of a dominant race is, in his dealings with the subject race, seldom indeed fraudulent, . . . but imperious, insolent, and cruel. Macaulay. Dominant estate or tenement (Law), the estate to which a servitude or easement is due from another estate, the estate over which the servitude extends being called the servient estate or tenement. Bouvier. Wharton's Law Dict. -- Dominant owner (Law), one who owns lands on which there is an easement owned by another. Syn. -- Governing; ruling; controlling; prevailing; predominant; ascendant.\n\nThe fifth tone of the scale; thus G is the dominant of C, A of D, and so on. Dominant chord (Mus.), the chord based upon the dominant.
dominate |To predominate over; to rule; to govern. \"A city dominated by the ax.\" Dickens. We everywhere meet with Slavonian nations either dominant or dominated. W. Tooke.\n\nTo be dominant. Hallam.
domination |1. The act of dominating; exercise of power in ruling; dominion; supremacy; authority; often, arbitrary or insolent sway. In such a people, the haugtiness of domination combines with the spirit of freedom. Burke. 2. A ruling party; a party in power. [R.] Burke. 3. pl.  A high order of angels in the celestial hierarchy; -- a meaning given by the schoolmen. Thrones, dominations, princedoms, virtues, powers. Milton.
dominative |Governing; ruling; imperious. Sir E. Sandys.
dominator |A ruler or ruling power. \"Sole dominator of Navarre.\" Shak. Jupiter and Mars are dominators for this northwest part of the world. Camden.
domine |1. A name given to a pastor of the Reformed Church. The word is also applied locally in the United States, in colloquial speech, to any clergyman. 2. Etym: [From Sp. domine a schoolmaster.] (Zoöl.)  A West Indian fish (Epinula magistralis), of the family Trichiuridæ. It is a long-bodied, voracious fish.
domineer |To rule with insolence or arbitrary sway; to play the master; to be overbearing; to tyrannize; to bluster; to swell with conscious superiority or haughtiness; -- often with over; as, to domineer over dependents. Go to the feast, revel and domineer. Shak. His wishes tend abroad to roam, And hers to domineer at home. Prior.
domineering |Ruling arrogantly; overbearing. A violent, brutal, domineering old reprobate. Blackw. Mag. Syn. -- Haughty; overbearing; lordly. See Imperious. -- Dom`i*neer\"ing*ly, adv.
dominical |1. Indicating, or pertaining to, the Lord's day, or Sunday. 2. Relating to, or given by, our Lord; as, the dominical (or Lord's) prayer. Howell. Some words altered in the dominical Gospels. Fuller. Dominical altar (Eccl.), the high altar. -- Dominical letter, the letter which, in almanacs, denotes Sunday, or the Lord's day (dies Domini). The first seven letters of the alphabet are used for this purpose, the same letter standing for Sunday during a whole year (except in leap year, when the letter is changed at the end of February). After twenty-eight years the same letters return in the same order. The dominical letters go backwards one day every common year, and two every leap year; e. g., if the dominical letter of a common year be G, F will be the dominical letter for the next year. Called also Sunday letter. Cf. Solar cycle, under Cycle, n.\n\nThe Lord's day or Sunday; also, the Lord's prayer. [Obs.]
dominican |Of or pertaining to St. Dominic (Dominic de Guzman), or to the religions communities named from him. Dominican nuns, an order of nuns founded by St. Dominic, and chiefly employed in teaching. -- Dominican tertiaries (the third order of St. Dominic). See Tertiary.\n\nOne of an order of mendicant monks founded by Dominic de Guzman, in 1215. A province of the order was established in England in 1221. The first foundation in the United States was made in 1807. The Master of the Sacred Palace at Rome is always a Dominican friar. The Dominicans are called also preaching friars, friars preachers, black friars (from their black cloak), brothers of St. Mary, and in France, Jacobins.
dominicide |1. The act of killing a master. 2. One who kills his master.
dominie |1. A schoolmaster; a pedagogue. [Scot.] This was Abel Sampson, commonly called, from occupation as a pedagogue, Dominie Sampson. Sir W. Scott. 2. A clergyman. See Domine, 1. [Scot. & Colloq. U. S.]
dominion |1. Sovereign or supreme authority; the power of governing and controlling; independent right of possession, use, and control; sovereignty; supremacy. I praised and honored him that liveth forever, whose dominion is an everlasting dominion. Dan. iv. 34. To choose between dominion or slavery. Jowett (Thucyd. ). 2. Superior prominence; predominance; ascendency. Objects placed foremost ought . . . have dominion over things confused and transient. Dryden. 3. That which is governed; territory over which authority is exercised; the tract, district, or county, considered as subject; as, the dominions of a king. Also used figuratively; as, the dominion of the passions. 4. pl.  A supposed high order of angels; dominations. See Domination, 3. Milton. By him were all things created . . . whether they be thrones, or dominions, or principalities, or powers. Col. i. 16. Syn. -- Sovereignty; control; rule; authority; jurisdiction; government; territory; district; region.
dominion day |In Canada, a legal holiday, July lst, being the anniversary of the proclamation of the formation of the Dominion in 1867.
domino |1. A kind of hood worn by the canons of a cathedral church; a sort of amice. Kersey. 2. A mourning veil formerly worn by women. 3. A kind of mask; particularly, a half mask worn at masquerades, to conceal the upper part of the face. Dominos were formerly worn by ladies in traveling. 4. A costume worn as a disguise at masquerades, consisting of a robe with a hood adjustable at pleasure. 5. A person wearing a domino. 6. pl.  A game played by two or more persons, with twenty-eight pieces of wood, bone, or ivory, of a flat, oblong shape, plain at the back, but on the face divided by a line in the middle, and either left blank or variously dotted after the manner of dice. The game is played by matching the spots or the blank of an unmatched half of a domino already played Hoyle. 7. One of the pieces with which the game of dominoes is played. Hoyle. fall like dominoes. To fall sequentially, as when one object in a line, by falling against the next object, causes it in turn to fall, and that second object causes a third to fall, etc.; the process can be repeated an indefinite number of times. Derived from an entertainment using dominoes arranged in a row, each standing on edge and therefore easily knocked over; when the first is made to fall against the next, it starts a sequence which ends when all have fallen. For amusement, people have arranged such sequences involving thousands of dominoes, arrayed in fanciful patterns. Domino theory. A political theory current in the 1960's, according to which the conversion of one country in South Asia to communism will start a sequential process causing all Asian countries to convert to Communism. The apparent assumption was that an Asian country with a Western orientation was as politically unstable as a domino standing on edge. Used by some as a justification for American involvement in the Vietnam war, 1964-1972.
domino whist |A game of cards in which the suits are played in sequence, beginning with a 5 or 9, the player who gets rid of his cards first being the winner.
dominus |Master; sir; -- a title of respect formerly applied to a knight or a clergyman, and sometimes to the lord of a manor. Cowell.
domitable |That can be tamed. [R.] Sir M. Hale.
domite |A grayish variety of trachyte; -- so called from the Puy-de- Dôme in Auvergne, France, where it is found.
don |1. Sir; Mr; Signior; -- a title in Spain, formerly given to noblemen and gentlemen only, but now common to all classes. Don is used in Italy, though not so much as in Spain France talks of Dom Calmet, England of Dom Calmet, England of Dan Lydgate. Oliphant. 2. A grand personage, or one making pretension to consequence; especially, the head of a college, or one of the fellows at the English universities. [Univ. Cant] \"The great dons of wit.\" Dryden.\n\nTo put on; to dress in; to invest one's self with. Should I don this robe and trouble you. Shak. At night, or in the rain, He dons a surcoat which he doffs at morn. Emerson.
dona |Lady; mistress; madam; -- a title of respect used in Spain, prefixed to the Christian name of a lady.
donable |Capable of being donated or given. [R.]
donary |A thing given to a sacred use. [R.] Burton.
donat |A grammar. [Obs.] [Written also donet.]
donatary |See Donatory.
donate |To give; to bestow; to present; as, to donate fifty thousand dollars to a college.
donation |1. The act of giving or bestowing; a grant. After donation there an absolute change and alienation of the property of the thing given. South. 2. That which is given as a present; that which is transferred to another gratuitously; a gift. And some donation freely to estate On the bless'd lovers. Shak. 3. (Law)  The act or contract by which a person voluntarily transfers the title to a thing of which be is the owner, from himself to another, without any consideration, as a free gift. Bouvier. Donation party, a party assembled at the house of some one, as of a clergyman, each one bringing some present. [U.S.] Bartlett. Syn. -- Gift; present; benefaction; grant. See Gift.
donatism |The tenets of the Donatists.
donatist |A follower of Donatus, the leader of a body of North African schismatics and purists, who greatly disturbed the church in the 4th century. They claimed to be the true church.
donatistic |Pertaining to Donatism.
donative |1. A gift; a largess; a gratuity; a present. \"The Romans were entertained with shows and donatives.\" Dryden. 2. (Eccl. Law)  A benefice conferred on a person by the founder or patron, without either presentation or institution by the ordinary, or induction by his orders. See the Note under Benefice, n., 3.\n\nVested or vesting by donation; as, a donative advowson. Blackstone.
donator |One who makes a gift; a donor; a giver.
donatory |A donee of the crown; one the whom, upon certain condition, escheated property is made over.
donax |A canelike grass of southern Europe (Arundo Donax), used for fishing rods, etc.
doncella |A handsome fish of Florida and the West Indies (Platyglossus radiatus). The name is applied also to the ladyfish (Harpe rufa) of the same region.
done |p. p. from Do, and formerly the infinitive. 1. Performed; executed; finished. 2. It is done or agreed; let it be a match or bargain; -- used elliptically. Done brown, a phrase in cookery; applied figuratively to one who has been thoroughly deceived, cheated, or fooled. [Colloq.] -- Done for, tired out; used up; collapsed; destroyed; dead; killed. [Colloq.] -- Done up. (a) Wrapped up. (b) Worn out; exhausted. [Colloq.]\n\nGiven; executed; issued; made public; -- used chiefly in the clause giving the date of a proclamation or public act.
donee |1. The person to whom a gift or donation is made. 2. (Law)  Anciently, one to whom lands were given; in later use, one to whom lands and tenements are given in tail; in modern use, one on whom a power is conferred for execution; -- sometimes called the appointor.
donet |Same as Donat. Piers Plowman.
dongola |1. A government of Upper Egypt. 2.  Dongola kid. Dongola kid, D. leather, leather made by the Dongola process. -- D. process, a process of tanning goatskin, and now also calfskin and sheepskin, with a combination of vegetable and mineral agents, so that it resembles kid. -- D. race, a boat race in which the crews are composed of a number of pairs, usually of men and women.
doni |A clumsy craft, having one mast with a long sail, used for trading purposes on the coasts of Coromandel and Ceylon. [Written also dhony, doney, and done.] Balfour.
doniferous |Bearing gifts. [R.]
donjon |The chief tower, also called the keep; a massive tower in ancient castles, forming the strongest part of the fortifications. See Illust. of Castle.
donkey |1. An ass; or (less frequently) a mule. 2. A stupid or obstinate fellow; an ass. Donkey engine, a small auxiliary engine not used for propelling, but for pumping water into the boilers, raising heavy weights, and like purposes. -- Donkey pump, a steam pump for feeding boilers, extinguishing fire, etc.; -- usually an auxiliary. -- Donkey's eye (Bot.), the large round seed of the Mucuna pruriens, a tropical leguminous plant.
donna |A lady; madam; mistress; -- the title given a lady in Italy.
donnat |See Do-naught. [Prov. Eng.] Halliwell.
donnee |Lit., given; hence, in a literary work, as a drama or tale, that which is assumed as to characters, situation, etc., as a basis for the plot or story.  W. E. Henley. That favorite romance donnée of the heir kept out of his own. Saintsbury.
donnism |Self-importance; loftiness of carriage. [Cant, Eng. Universities]
donor |1. One who gives or bestows; one who confers anything gratuitously; a benefactor. 2. (Law)  One who grants an estate; in later use, one who confers a power; -- the opposite of donee. Kent. Touching, the parties unto deeds and charters, we are to consider as well the donors and granters as the donees or grantees. Spelman.
donship |The quality or rank of a don, gentleman, or knight. Hudibras.
donya |Lady; mistress; madam; -- a title of respect used in Spain, prefixed to the Christian name of a lady.
donzel |A young squire, or knight's attendant; a page. [Obs.] Beau. & Fl.
doo |A dove. [Scot.]
doob grass |A perennial, creeping grass (Cynodon dactylon), highly prized, in Hindostan, as food for cattle, and acclimated in the United States. [Written also doub grass.]
doodle |A trifler; a simple fellow.
doodlesack |The Scotch bagpipe. [Prov. Eng.]
doole |Sorrow; dole. [Obs.] Spenser.
dooly |A kind of litter suspended from men's shoulders, for carrying persons or things; a palanquin. [Written also doolee and doolie.] [East Indies] Having provided doolies, or little bamboo chairs slung on four men's shoulders, in which I put my papers and boxes, we next morning commenced the ascent. J. D. Hooker.
doom |1. Judgment; judicial sentence; penal decree; condemnation. The first dooms of London provide especially the recovery of cattle belonging to the citizens. J. R. Green. Now against himself he sounds this doom. Shak. 2. That to which one is doomed or sentenced; destiny or fate, esp. unhappy destiny; penalty. Ere Hector meets his doom. Pope. And homely household task shall be her doom. Dryden. 3. Ruin; death. This is the day of doom for Bassianus. Shak. 4. Discriminating opinion or judgment; discrimination; discernment; decision. [Obs.] And there he learned of things and haps to come, To give foreknowledge true, and certain doom. Fairfax. Syn. -- Sentence; condemnation; decree; fate; destiny; lot; ruin; destruction.\n\n1. To judge; to estimate or determine as a judge. [Obs.] Milton. 2. To pronounce sentence or judgment on; to condemn; to consign by a decree or sentence; to sentence; as, a criminal doomed to chains or death. Absolves the just, and dooms the guilty souls. Dryden. 3. To ordain as penalty; hence, to mulct or fine. Have I tongue to doom my brother's death Shak. 4. To assess a tax upon, by estimate or at discretion. [New England] J. Pickering. 5. To destine; to fix irrevocably the destiny or fate of; to appoint, as by decree or by fate. A man of genius . . . doomed to struggle with difficulties. Macaulay.
doom palm |A species of palm tree (Hyphæne Thebaica), highly valued for the fibrous pulp of its fruit, which has the flavor of gingerbread, and is largely eaten in Egypt and Abyssinia. [Written also doum palm.]
doomage |A penalty or fine for neglect. [Local, New England]
doomful |Full of condemnation or destructive power. [R.] \"That doomful deluge.\" Drayton.
doomsday |1. A day of sentence or condemnation; day of death. \"My body's doomsday.\" Shak. 2. The day of the final judgment. I could not tell till doomsday. Chaucer. Doomsday Book. See Domesday Book.
doomsman |A judge; an umpire. [Obs.] Hampole.
doomster |Same as Dempster. [Scot.]
doop |A little copper cup in which a diamond is held while being cut.
door |1. An opening in the wall of a house or of an apartment, by which to go in and out; an entrance way. To the same end, men several paths may tread, As many doors into one temple lead. Denham. 2. The frame or barrier of boards, or other material, usually turning on hinges, by which an entrance way into a house or apartment is closed and opened. At last he came unto an iron door That fast was locked. Spenser. 3. Passage; means of approach or access. I am the door; by me if any man enter in, he shall be saved. John x. 9. 4. An entrance way, but taken in the sense of the house or apartment to which it leads. Martin's office is now the second door in the street. Arbuthnot. Blank door, Blind door, etc. (Arch.) See under Blank, Blind, etc. -- In doors, or Within doors, within the house. -- Next door to, near to; bordering on. A riot unpunished is but next door to a tumult. L'Estrange. -- Out of doors, or Without doors, and, colloquially, Out doors, out of the house; in open air; abroad; away; lost. His imaginary title of fatherhood is out of doors. Locke. -- To lay (a fault, misfortune, etc.) at one's door, to charge one with a fault; to blame for. -- To lie at one's door, to be imputable or chargeable to. If I have failed, the fault lies wholly at my door. Dryden. Note: Door is used in an adjectival construction or as the first part of a compound (with or without the hyphen), as, door frame, doorbell or door bell, door knob or doorknob, door latch or doorlatch, door jamb, door handle, door mat, door panel.
doorcase |The surrounding frame into which a door shuts.
doorcheek |The jamb or sidepiece of a door. Ex. xii. 22 (Douay version).
doorga |A Hindoo divinity, the consort of Siva, represented with ten arms. [Written also Durga.] Malcom.
dooring |The frame of a door. Milton.
doorkeeper |One who guards the entrance of a house or apartment; a porter; a janitor.
doorless |Without a door.
doornail |The nail or knob on which in ancient doors the knocker struck; -- hence the old saying, \"As dead as a doornail.\",
  "cryometer |A thermometer for the measurement of low temperatures, esp. such an instrument containing alcohol or some other liquid of a lower freezing point than mercury.
doorplane |A plane on a door, giving the name, and sometimes the employment, of the occupant.
doorpost |The jamb or sidepiece of a doorway.
doorsill |The sill or threshold of a door.
doorstead |Entrance or place of a door. [Obs. or Local] Bp. Warburton.
doorstep |The stone or plank forming a step before an outer door.
doorstone |The stone forming a threshold.
doorstop |The block or strip of wood or similar material which stops, at the right place, the shutting of a door.
doorway |The passage of a door; entrance way into a house or a room.
dooryard |A yard in front of a house or around the door of a house.
dop |A little copper cup in which a diamond is held while being cut.\n\nTo dip. [Obs.] Walton.\n\nA dip; a low courtesy. [Obs.] B. Jonson.
dope |1. Any thick liquid or pasty preparation, as of opium for medicinal purposes, of grease for a lubricant, etc. 2.  Any preparation, as of opium, used to stupefy or, in the case of a race horse, to stimulate. [Slang or Cant] 3.  An absorbent material; esp., in high explosives, the sawdust, infusorial earth, mica, etc., mixed with nitroglycerin to make a damp powder (dynamite, etc.) less dangerous to transport, and ordinarily explosive only by suitable fulminating caps. 4.  Information concerning the previous performances of race horses, or other facts concerning them which may be of assistance in judging of their chances of winning future races; sometimes, similar information concerning other sports. [Sporting Slang]\n\n1. To treat or affect with dope; as, to dope nitroglycerin; specif.: (a) To give stupefying drugs to; to drug. [Slang] (b) To administer a stimulant to (a horse) to increase his speed. It is a serious offense against the laws of racing. [Race-track Slang] 2.  To judge or guess; to predict the result of, as by the aid of dope. [Slang]
dope-book |A chart of previous performances, etc., of race horses. [Race- track Slang]
dopey |Affected by \"dope\"; esp., sluggish or dull as though under the influence of a narcotic. [Slang]
doppelganger |A spiritual or ghostly double or counterpart; esp., an apparitional double of a living person; a cowalker.
dopper |An Anabaptist or Baptist. [Contemptuous] B. Jonson.
dopplerite |A brownish black native hydrocarbon occurring in elastic or jellylike masses.
doquet |A warrant. See Docket.
dor |A large European scaraboid beetle (Geotrupes stercorarius), which makes a droning noise while flying. The name is also applied to allied American species, as the June bug. Called also dorr, dorbeetle, or dorrbeetle, dorbug, dorrfly, and buzzard clock.\n\nA trick, joke, or deception. Beau. & Fl. To give one the dor, to make a fool of him. [Archaic] P. Fletcher.\n\nTo make a fool of; to deceive. [Obs.] [Written also dorr.] B. Jonson.
dorado |1. (Astron.)  A southern constellation, within which is the south pole of the ecliptic; -- called also sometimes Xiphias, or the Swordfish. 2. (Zoöl.)  A large, oceanic fish of the genus Coryphæna.
dorbeetle |See 1st Dor.
doree |A European marine fish (Zeus faber), of a yellow color. See Illust. of John Doree. Note: The popular name in England is John Doree, or Dory, well known to be a corruption of F. jaune-dorée, i. e., golden-yellow. See 1st Dory.
doretree |A doorpost. [Obs.] \"As dead as a doretree.\" Piers Plowman.
dorhawk |The European goatsucker; -- so called because it eats the dor beetle. See Goatsucker. [Written also dorrhawk.] Booth.
dorian |1. Of or pertaining to the ancient Greeks of Doris; Doric; as, a Dorian fashion. 2. (Mus.)  Same as Doric, 3. \"Dorian mood.\" Milton. Dorian mode (Mus.), the first of the authentic church modes or tones, from D to D, resembling our D minor scale, but with the B natural. Grove.\n\nA native or inhabitant of Doris in Greece.
doric |1. Pertaining to Doris, in ancient Greece, or to the Dorians; as, the Doric dialect. 2. (Arch.)  Belonging to, or resembling, the oldest and simplest of the three orders of architecture used by the Greeks, but ranked as second of the five orders adopted by the Romans. See Abacus, Capital, Order. Note: This order is distinguished, according to the treatment of details, as Grecian Doric, or Roman Doric. 3. (Mus.)  Of or relating to one of the ancient Greek musical modes or keys. Its character was adapted both to religions occasions and to war.\n\nThe Doric dialect.
doricism |A Doric phrase or idiom.
doris |A genus of nudibranchiate mollusks having a wreath of branchiæ on the back.
dorism |A Doric phrase or idiom.
dorking fowl |One of a breed of large-bodied domestic fowls, having five toes, or the hind toe double. There are several strains, as the white, gray, and silver-gray. They are highly esteemed for the table.
dormancy |The state of being dormant; quiescence; abeyance.
dormant |1. Sleeping; as, a dormant animal; hence, not in action or exercise; quiescent; at rest; in abeyance; not disclosed, asserted, or insisted on; as, dormant passions; dormant claims or titles. It is by lying dormant a long time, or being . . . very rarely exercised, that arbitrary power steals upon a people. Burke. 2. (Her.)  In a sleeping posture; as, a lion dormant; -- distinguished from couchant. Dormant partner (Com.), a partner who takes no share in the active business of a company or partnership, but is entitled to a share of the profits, and subject to a share in losses; -- called also sleeping or silent partner. -- Dormant window (Arch.), a dormer window. See Dormer. -- Table dormant, a stationary table. [Obs.] Chaucer.\n\nA large beam in the roof of a house upon which portions of the other timbers rest or \" sleep.\" Arch. Pub. Soc. -- Called also dormant tree, dorman tree, dormond, and dormer. Halliwell.
dormer |A window pierced in a roof, and so set as to be vertical while the roof slopes away from it. Also, the gablet, or houselike structure, in which it is contained.
dormer window |A window pierced in a roof, and so set as to be vertical while the roof slopes away from it. Also, the gablet, or houselike structure, in which it is contained.
dormitive |Causing sleep; as, the dormitive properties of opium. Clarke. -- n. (Med.)  A medicine to promote sleep; a soporific; an opiate.
dormitory |1. A sleeping room, or a building containing a series of sleeping rooms; a sleeping apartment capable of containing many beds; esp., one connected with a college or boarding school. Thackeray. 2. A burial place. [Obs.] Ayliffe. My sister was interred in a very honorable manner in our dormitory, joining to the parish church. Evelyn.
dormouse |A small European rodent of the genus Myoxus, of several species. They live in trees and feed on nuts, acorns, etc.; -- so called because they are usually torpid in winter.
dormy |Up, or ahead, as many holes as remain to be played; -- said of a player or side. A player who is dormy can not be beaten, and at the worst must halve the match. Encyc. of Sport.
dorn |A British ray; the thornback.
dornick |A coarse sort of damask, originally made at Tournay (in Flemish, Doornick), Belgium, and used for hangings, carpets, etc. Also, a stout figured linen manufactured in Scotland. [Formerly written also darnex, dornic, dorneck, etc.] Halliwell. Jamieson. Note: Ure says that dornock, a kind of stout figured linen, derives its name from a town in Scotland where it was first manufactured for tablecloths.
dornock |A coarse sort of damask, originally made at Tournay (in Flemish, Doornick), Belgium, and used for hangings, carpets, etc. Also, a stout figured linen manufactured in Scotland. [Formerly written also darnex, dornic, dorneck, etc.] Halliwell. Jamieson. Note: Ure says that dornock, a kind of stout figured linen, derives its name from a town in Scotland where it was first manufactured for tablecloths.
dorp |A hamlet. \"A mean fishing dorp.\" Howell.
dorr |The dorbeetle; also, a drone or an idler. See 1st Dor. Robynson (More's Utopia).\n\n1. To deceive. [Obs.] See Dor, v. t. 2. To deafen with noise. [Obs.] Halliwell.
dorrfly |See 1st Dor.
dorrhawk |See Dorhawk.
dorsad |Toward the dorsum or back; on the dorsal side; dorsally.
dorsal |1. (Anat.)  Pertaining to, or situated near, the back, or dorsum, of an animal or of one of its parts; notal; tergal; neural; as, the dorsal fin of a fish; the dorsal artery of the tongue; -- opposed to ventral. 2. (Bot.) (a) Pertaining to the surface naturally inferior, as of a leaf. (b) Pertaining to the surface naturally superior, as of a creeping hepatic moss. Dorsal vessel (Zoöl.), a central pulsating blood vessel along the back of insects, acting as a heart.\n\nA hanging, usually of rich stuff, at the back of a throne, or of an altar, or in any similar position.
dorsale |Same as Dorsal, n.
dorsally |On, or toward, the dorsum, or back; on the dorsal side of; dorsad.
dorse |1. Same as dorsal, n. [Obs.] 2. The back of a book. [Obs.] Books, all richly bound, with gilt dorses. Wood.\n\nThe Baltic or variable cod (Gadus callarias), by some believed to be the young of the common codfish.
dorsel |1. A pannier. 2. Same as Dorsal, n.
dorser |See Dosser.
dorsibranchiata |A division of chætopod annelids in which the branchiæ are along the back, on each side, or on the parapodia. [See Illusts. under Annelida and Chætopoda.]
dorsibranchiate |Having branchiæ along the back; belonging to the Dorsibranchiata. -- n.  One of the Dorsibranchiata.
dorsiferous |Bearing, or producing, on the back; -- applied to ferns which produce seeds on the back of the leaf, and to certain Batrachia, the ova of which become attached to the skin of the back of the parent, where they develop; dorsiparous.
dorsimeson |(Anat.) See Meson.
dorsiparous |Same as Dorsiferous.
dorsiventral |1. (Biol.)  Having distinct upper and lower surfaces, as most common leaves. The leaves of the iris are not dorsiventral. 2. (Anat.)  See Dorsoventral.
dorsoventral |From the dorsal to the ventral side of an animal; as, the dorsoventral axis.
dorsum |1. The ridge of a hill. 2. (Anat.)  The back or dorsal region of an animal; the upper side of an appendage or part; as, the dorsum of the tongue.
dortour |A dormitory. [Obs.] Bacon.
dorture |A dormitory. [Obs.] Bacon.
dory |1. (Zoöl.)  A European fish. See Doree, and John Doree. 2. (Zoöl.)  The American wall-eyed perch; -- called also doré. See Pike perch.\n\nA small, strong, flat-bottomed rowboat, with sharp prow and flaring sides.
doryphora |A genus of plant-eating beetles, including the potato beetle. See Potato beetle.
doryphoros |A spear bearer; a statue of a man holding a spear or in the attitude of a spear bearer. Several important sculptures of this subject existed in antiquity, copies of which remain to us.
dos--dos |Back to back; as, to sit dos-à-dos in a dogcart; to dance dos- à-dos, or so that two dancers move forward and pass back to back.\n\nA sofa, open carriage, or the like, so constructed that the occupants sit back to back.
dosage |1.  (Med.)  The administration of medicine in doses; specif., a scheme or system of grading doses of medicine according to age, etc. 2.  The process of adding some ingredient, as to wine, to give flavor, character, or strength.
dose |1. The quantity of medicine given, or prescribed to be taken, at one time. 2. A sufficient quantity; a portion; as much as one can take, or as falls to one to receive. 3. Anything nauseous that one is obliged to take; a disagreeable portion thrust upon one. I am for curing the world by gentle alteratives, not by violent doses. W. Irving. I dare undertake that as fulsome a dose as you give him, he shall readily take it down. South.\n\n1. To proportion properly (a medicine), with reference to the patient or the disease; to form into suitable doses. 2. To give doses to; to medicine or physic to; to give potions to, constantly and without need. A self-opinioned physician, worse than his distemper, who shall dose, and bleed, and kill him, \"secundum artem.\" South 3. To give anything nauseous to.
dosel |Same as Dorsal, n. [R.]
dosimetry |Measurement of doses; specif., a system of therapeutics which uses but few remedies, mostly alkaloids, and gives them in doses fixed by certain rules. --Do`si*met\"ric (#), a. --Do*sim\"e*trist (#), n.
dosology |Posology. [R.] Ogilvie.
doss |A place to sleep in; a bed; hence, sleep. [Slang]
doss house |A cheap lodging house. They [street Arabs] consort together and sleep in low doss houses where they meet with all kinds of villainy. W. Besant.
dossel |Same as Dorsal, n.
dosser |1. A pannier, or basket. To hire a ripper's mare, and buy new dossers. Beau. & Fl. 2. A hanging tapestry; a dorsal.
dossier |A bundle containing the papers in reference to some matter.
dossil |1. (Surg.)  A small ovoid or cylindrical roil or pledget of lint, for keeping a sore, wound, etc., open; a tent. 2. (Printing)  A roll of cloth for wiping off the face of a copperplate, leaving the ink in the engraved lines.
dost |of Do.
dot |A marriage portion; dowry. [Louisiana]\n\n1. A small point or spot, made with a pen or other pointed instrument; a speck, or small mark. 2. Anything small and like a speck comparatively; a small portion or specimen; as, a dot of a child.\n\n1. To mark with dots or small spots; as, to dot a line. 2. To mark or diversify with small detached objects; as, a landscape dotted with cottages.\n\nTo make dots or specks.
dotage |1. Feebleness or imbecility of understanding or mind, particularly in old age; the childishness of old age; senility; as, a venerable man, now in his dotage. Capable of distinguishing between the infancy and the dotage of Greek literature. Macaulay. 2. Foolish utterance; drivel. The sapless dotages of old Paris and Salamanca. Milton. 3. Excessive fondness; weak and foolish affection. The dotage of the nation on presbytery. Bp. Burnet.
dotal |Pertaining to dower, or a woman's marriage portion; constituting dower, or comprised in it. Garth.
dotant |A dotard. [Obs.] Shak.
