eyliad |See Eiliad.
fallals |Gay ornaments; frippery; gewgaws. [Colloq.] Thackeray.
fallax |Cavillation; a caviling. [Obs.] Cranmer.
fallen |Dropped; prostrate; degraded; ruined; decreased; dead. Some ruined temple or fallen monument. Rogers.
fallency |An exception. [Obs.] Jer. Taylor.
faller |1. One who, or that which, falls. 2. (Mach.)  A part which acts by falling, as a stamp in a fulling mill, or the device in a spinning machine to arrest motion when a thread breaks.
fallfish |A fresh-water fish of the United States (Semotilus bullaris); - - called also silver chub, and Shiner. The name is also applied to other allied species.
fallibility |The state of being fallible; liability to deceive or to be deceived; as, the fallibity of an argument or of an adviser.
fallible |Liable to fail, mistake, or err; liable to deceive or to be deceived; as, all men are fallible; our opinions and hopes are fallible.
fallibly |In a fallible manner.
falling |from Fall, v. i. Falling away, Falling off, etc. See To fall away, To fall off, etc., under Fall, v. i. -- Falling band, the plain, broad, linen collar turning down over the doublet, worn in the early part of the 17th century. -- Falling sickness (Med.), epilepsy. Shak. -- Falling star. (Astron.) See Shooting star. -- Falling stone, a stone falling through the atmosphere; a meteorite; an aërolite. -- Falling tide, the ebb tide. -- Falling weather, a rainy season. [Colloq.] Bartlett.
fallopian |Pertaining to, or discovered by, Fallopius; as, the Fallopian tubes or oviducts, the ducts or canals which conduct the ova from the ovaries to the uterus.
fallow |1. Pale red or pale yellow; as, a fallow deer or greyhound. Shak. 2. Etym: [Cf. Fallow, n.]  Left untilled or unsowed after plowing; uncultivated; as, fallow ground. Fallow chat, Fallow finch (Zoöl.), a small European bird, the wheatear (Saxicola ænanthe). See Wheatear.\n\n1. Plowed land. [Obs.] Who . . . pricketh his blind horse over the fallows. Chaucer. 2. Land that has lain a year or more untilled or unseeded; land plowed without being sowed for the season. The plowing of fallows is a benefit to land. Mortimer. 3. The plowing or tilling of land, without sowing it for a season; as, summer fallow, properly conducted, has ever been found a sure method of destroying weeds. Be a complete summer fallow, land is rendered tender and mellow. The fallow gives it a better tilth than can be given by a fallow crop. Sinclair. Fallow crop, the crop taken from a green fallow. [Eng.] -- Green fallow, fallow whereby land is rendered mellow and clean from weeds, by cultivating some green crop, as turnips, potatoes, etc. [Eng.]\n\nTo plow, harrow, and break up, as land, without seeding, for the purpose of destroying weeds and insects, and rendering it mellow; as, it is profitable to fallow cold, strong, clayey land.
fallow deer |A European species of deer (Cervus dama), much smaller than the red deer. In summer both sexes are spotted with white. It is common in England, where it is often domesticated in the parks.
fallowist |One who favors the practice of fallowing land. [R.] Sinclair.
fallowness |A well or opening, through the successive floors of a warehouse or manufactory, through which goods are raised or lowered. [U.S.] Bartlett.
falsary |A falsifier of evidence. [Obs.] Sheldon.
false |1. Uttering falsehood; unveracious; given to deceit; dishnest; as, a false witness. 2. Not faithful or loyal, as to obligations, allegiance, vows, etc.; untrue; treacherous; perfidious; as, a false friend, lover, or subject; false to promises. I to myself was false, ere thou to me. Milton. 3. Not according with truth or reality; not true; fitted or likely to deceive or disappoint; as, a false statement. 4. Not genuine or real; assumed or designed to deceive; counterfeit; hypocritical; as, false tears; false modesty; false colors; false jewelry. False face must hide what the false heart doth know. Shak. 5. Not well founded; not firm or trustworthy; erroneous; as, a false claim; a false conclusion; a false construction in grammar. Whose false foundation waves have swept away. Spenser. 6. Not essential or permanent, as parts of a structure which are temporary or supplemental. 7. (Mus.)  Not in tune. False arch (Arch.), a member having the appearance of an arch, though not of arch construction. -- False attic, an architectural erection above the main cornice, concealing a roof, but not having windows or inclosing rooms. -- False bearing, any bearing which is not directly upon a vertical support; thus, the weight carried by a corbel has a false bearing. -- False cadence, an imperfect or interrupted cadence. -- False conception (Med.), an abnormal conception in which a mole, or misshapen fleshy mass, is produced instead of a properly organized fetus. -- False croup (Med.), a spasmodic affection of the larynx attended with the symptoms of membranous croup, but unassociated with the deposit of a fibrinous membrane. -- False door or window (Arch.), the representation of a door or window, inserted to complete a series of doors or windows or to give symmetry. -- False fire, a combustible carried by vessels of war, chiefly for signaling, but sometimes burned for the purpose of deceiving an enemy; also, a light on shore for decoying a vessel to destruction. -- False galena. See Blende. -- False imprisonment (Law), the arrest and imprisonment of a person without warrant or cause, or contrary to law; or the unlawful detaining of a person in custody. -- False keel (Naut.), the timber below the main keel, used to serve both as a protection and to increase the shio's lateral resistance. -- False key, a picklock. -- False leg. (Zoöl.) See Proleg. -- False membrane (Med.), the fibrinous deposit formed in croup and diphtheria, and resembling in appearance an animal membrane. -- False papers (Naut.), documents carried by a ship giving false representations respecting her cargo, destination, ect., for the purpose of deceiving. -- False passage (Surg.), an unnatural passage leading off from a natural canal, such as the urethra, and produced usually by the unskillful introduction of instruments. -- False personation (Law), the intentional false assumption of the name and personality of another. -- False pretenses (Law), false representations concerning past or present facts and events, for the purpose of defrauding another. -- False rail (Naut.), a thin piece of timber placed on top of the head rail to strengthen it. -- False relation (Mus.), a progression in harmony, in which a certain note in a chord appears in the next chord prefixed by a flat or sharp. -- False return (Law), an untrue return made to a process by the officer to whom it was delivered for execution. -- False ribs (Anat.), the asternal rebs, of which there are five pairs in man. -- False roof (Arch.), the space between the upper ceiling and the roof. Oxford Gloss. -- False token, a false mark or other symbol, used for fraudulent purposes. -- False scorpion (Zoöl.), any arachnid of the genus Chelifer. See Book scorpion. -- False tack (Naut.), a coming up into the wind and filling away again on the same tack. -- False vampire (Zoöl.), the Vampyrus spectrum of South America, formerly erroneously supposed to have blood-sucking habits; -- called also vampire, and ghost vampire. The genuine blood-sucking bats belong to the genera Desmodus and Diphylla. See Vampire. -- False window. (Arch.) See False door, above. -- False wing. (Zoöl.) See Alula, and Bastard wing, under Bastard. -- False works (Civil Engin.), construction works to facilitate the erection of the main work, as scaffolding, bridge centering, etc.\n\nNot truly; not honestly; falsely. \"You play me false.\" Shak.\n\n1. To report falsely; to falsify. [Obs.] Chaucer. 2. To betray; to falsify. [Obs.] [He] hath his truthe falsed in this wise. Chaucer. 3. To mislead by want of truth; to deceive. [Obs.] In his falsed fancy. Spenser. 4. To feign; to pretend to make. [Obs.] \"And falsed oft his blows.\" Spenser.
false-faced |Hypocritical. Shak.
false-heart |False-hearted. Shak.
false-hearted |Hollow or unsound at the core; treacherous; deceitful; perfidious. Bacon. -- False\"*heart`ed*ness, n. Bp. Stillingfleet.
falsehood |1. Want of truth or accuracy; an untrue assertion or representation; error; misrepresentation; falsity. Though it be a lie in the clock, it is but a falsehood in the hand of the dial when pointing at a wrong hour, if rightly following the direction of the wheel which moveth it. Fuller. 2. A deliberate intentional assertion of what is known to be untrue; a departure from moral integrity; a lie. 3. Treachery; deceit; perfidy; unfaithfulness. Betrayed by falsehood of his guard. Shak. 4. A counterfeit; a false appearance; an imposture. For his molten image is falsehood. Jer. x. 14. No falsehood can endure Touch of celestial temper. Milton. Syn. -- Falsity; lie; untruth; fiction; fabrication. See Falsity.
falsely |In a false manner; erroneously; not truly; perfidiously or treacherously. \"O falsely, falsely murdered.\" Shak. Oppositions of science, falsely so called. 1 Tim. vi. 20. Will ye steal, murder . . . and swear falsely Jer. vii. 9.
falseness |The state of being false; contrariety to the fact; inaccuracy; want of integrity or uprightness; double dealing; unfaithfulness; treachery; perfidy; as, the falseness of a report, a drawing, or a singer's notes; the falseness of a man, or of his word.
falser |A deceiver. [Obs.] Spenser.
falsetto |A false or artificial voice; that voice in a man which lies above his natural voice; the male counter tenor or alto voice. See Head voice, under Voice.
falsicrimen |The crime of falsifying. Note: This term in the Roman law included not only forgery, but every species of fraud and deceit. It never has been used in so extensive a sense in modern common law, in which its predominant significance is forgery, though it also includes perjury and offenses of a like character. Burrill. Greenleaf.
falsifiable |Capable of being falsified, counterfeited, or corrupted. Johnson.
falsification |1. The act of falsifying, or making false; a counterfeiting; the giving to a thing an appearance of something which it is not. To counterfeit the living image of king in his person exceedeth all falsifications. Bacon. 2. Willful misstatement or misrepresentation. Extreme necessity . . . forced him upon this bold and violent falsification of the doctrine of the alliance. Bp. Warburton. 3. (Equity)  The showing an item of charge in an account to be wrong. Story.
falsificator |A falsifier. Bp. Morton.
falsifier |One who falsifies, or gives to a thing a deceptive appearance; a liar.
falsify |1. To make false; to represent falsely. The Irish bards use to forge and falsify everything as they list, to please or displease any man. Spenser. 2. To counterfeit; to forge; as, to falsify coin. 3. To prove to be false, or untrustworthy; to confute; to disprove; to nullify; to make to appear false. By how much better than my word I am, By so much shall I falsify men's hope. Shak. Jews and Pagans united all their endeavors, under Julian the apostate, to baffie and falsify the prediction. Addison. 4. To violate; to break by falsehood; as, to falsify one's faith or word. Sir P. Sidney. 5. To baffie or escape; as, to falsify a blow. Bulter. 6. (Law)  To avoid or defeat; to prove false, as a judgment. Blackstone. 7. (Equity)  To show, in accounting, (an inem of charge inserted in an account) to be wrong. Story. Daniell. 8. To make false by multilation or addition; to tamper with; as, to falsify a record or document.\n\nTo tell lies; to violate the truth. It is absolutely and universally unlawful to lie and falsify. South.
falsism |That which is evidently false; an assertion or statement the falsity of which is plainly apparent; -- opposed to truism.
falsity |1. The quality of being false; coutrariety or want of conformity to truth. Probability does not make any alteration, either in the truth or falsity of things. South. 2. That which is false; falsehood; a lie; a false assertion. Men often swallow falsities for truths. Sir T. Brown. Syn. -- Falsehood; lie; deceit. -- Falsity, Falsehood, Lie. Falsity denotes the state or quality of being false. A falsehood is a false declaration designedly made. A lie is a gross, unblushing falsehood. The falsity of a person's assertion may be proved by the evidence of others and thus the charge of falsehood be fastened upon him.
falter |To thrash in the chaff; also, to cleanse or sift, as barley. [Prov. Eng.] Halliwell.\n\n1. To hesitate; to speak brokenly or weakly; to stammer; as, his tongue falters. With faltering speech and visage incomposed. Milton. 2. To tremble; to totter; to be unsteady. \"He found his legs falter.\" Wiseman. 3. To hesitate in purpose or action. Ere her native king Shall falter under foul rebellion's arms. Shak. 4. To fail in distinctness or regularity of exercise; -- said of the mind or of thought. Here indeed the power of disinct conception of space and distance falters. I. Taylor.\n\nTo utter with hesitation, or in a broken, trembling, or weak manner. And here he faltered forth his last farewell. Byron. Mde me most happy, faltering \"I am thine.\" Tennyson.\n\nHesitation; trembling; feebleness; an uncertain or broken sound; as, a slight falter in her voice. The falter of an idle shepherd's pipe. Lowell.
faltering |Hesitating; trembling. \"With faltering speech.\" Milton. -- n.  Falter; halting; hesitation. -- Fal\"ter*ing*ly, adv.
faluns |A series of strata, of the Middle Tertiary period, of France, abounding in shells, and used by Lyell as the type of his Miocene subdivision.
falwe |Fallow. [Obs.] Chaucer.
falx |A curved fold or process of the dura mater or the peritoneum; esp., one of the partitionlike folds of the dura mater which extend into the great fissures of the brain.
famble |To stammer. [Obs.] Nares.\n\nA hand [Slang & Obs.] \"We clap our fambles.\" Beau. & Fl.
fame |1. Public report or rumor. The fame thereof was heard in Pharaoh's house. Gen. xlv. 16. 2. Report or opinion generally diffused; renown; public estimation; celebrity, either favorable or unfavorable; as, the fame of Washington. I find thou art no less than fame hath bruited. Shak. Syn. -- Notoriety; celebrity; renown; reputation.\n\n1. To report widely or honorably. The field where thou art famed To have wrought such wonders. Milton. 2. To make famous or renowned. Those Hesperian gardens famed of old. Milton.
fameless |Without fame or renown. -- Fame\"less*ly, adv.
familiar |1. Of or pertaining to a family; domestic. \"Familiar feuds.\" Byron. 2. Closely acquainted or intimate, as a friend or companion; well versed in, as any subject of study; as, familiar with the Scriptures. 3. Characterized by, or exhibiting, the manner of an intimate friend; not formal; unconstrained; easy; accessible. \"In loose, familiar strains.\" Addison. Be thou familiar, but by no means vulgar. Shak. 4. Well known; well understood; common; frequent; as, a familiar illustration. That war, or peace, or both at once, may be As things acquainted and familiar to us. Shak. There is nothing more familiar than this. Locke. 5. Improperly acquainted; wrongly intimate. Camden. Familiar spirit, a demon or evil spirit supposed to attend at call. 1 Sam. xxviii. 3, 7-9.\n\n1. An intimate; a companion. All my familiars watched for my halting. Jer. xx. 10. 2. An attendant demon or evil spirit. Shak. 3. (Court of Inquisition)  A confidential officer employed in the service of the tribunal, especially in apprehending and imprisoning the accused.
familiarity |1. The state of being familiar; intimate and frequent converse, or association; unconstrained intercourse; freedom from ceremony and constraint; intimacy; as, to live in remarkable familiarity. 2. Anything said or done by one person to another unceremoniously and without constraint; esp., in the pl., such actions and words as propriety and courtesy do not warrant; liberties. Syn. -- Acquaintance; fellowship; affability; intimacy. See Acquaintance.
familiarization |The act or process of making familiar; the result of becoming familiar; as, familiarization with scenes of blood.
familiarize |1. To make familiar or intimate; to habituate; to accustom; to make well known by practice or converse; as, to familiarize one's self with scenes of distress. 2. To make acquainted, or skilled, by practice or study; as, to familiarize one's self with a business, a book, or a science.
familiarly |In a familiar manner.
familiarness |Familiarity. [R.]
familiary |Of or pertaining to a family or household; domestic. [Obs.] Milton.
familism |The tenets of the Familists. Milton.
familist |One of afanatical Antinomian sect originating in Holland, and existing in England about 1580, called the Family of Love, who held that religion consists wholly in love.
familistery |A community in which many persons unite as in one family, and are regulated by certain communistic laws and customs.
familistic |Pertaining to Familists. Baxter.
familistical |Pertaining to Familists. Baxter.
family |1. The collective body of persons who live in one house, and under one head or manager; a household, including parents, children, and servants, and, as the case may be, lodgers or boarders. 2. The group comprising a husband and wife and their dependent children, constituting a fundamental unit in the organization of society. The welfare of the family underlies the welfare of society. H. Spencer. 3. Those who descend from one common progenitor; a tribe, clan, or race; kindred; house; as, the human family; the family of Abraham; the father of a family. Go ! and pretennd your family is young. Pope. 4. Course of descent; genealogy; line of ancestors; lineage. 5. Honorable descent; noble or respectable stock; as, a man of family. 6. A groupe of kindred or closely related individuals; as, a family of languages; a family of States; the chlorine family. 7. (Biol.)  A groupe of organisms, either animal or vegetable, related by certain points of resemblance in structure or development, more comprehensive than a genus, because it is usually based on fewer or less pronounced points of likeness. In zoölogy a family is less comprehesive than an order; in botany it is often considered the same thing as an order. Family circle. See under Circle. -- Family man. (a) A man who has a family; esp., one who has a wife and children living with him andd dependent upon him. (b) A man of domestic habits. \"The Jews are generally, when married, most exemplary family men.\" Mayhew. -- Family of curves or surfaces (Geom.), a group of curves or surfaces derived from a single equation. -- In a family way, like one belonging to the family. \"Why don't we ask him and his ladies to come over in a family way, and dine with some other plain country gentlefolks\" Thackeray. -- In the family way, pregnant. [Colloq.]
famine |General scarcity of food; dearth; a want of provisions; destitution. \"Worn with famine.\" Milton. There was a famine in the land. Gen. xxvi. 1. Famine fever (Med.), typhus fever.
famish |1. To starve, kill, or destroy with hunger. Shak. 2. To exhaust the strength or endurance of, by hunger; to distress with hanger. And when all the land of Egypt was famished, the people cried to Pharaoh for bread. Cen. xli. 55. The pains of famished Tantalus he'll feel. Dryden. 3. To kill, or to cause to suffer extremity, by deprivation or denial of anything necessary. And famish him of breath, if not of bread. Milton. 4. To force or constrain by famine. He had famished Paris into a surrender. Burke.\n\n1. To die of hunger; to starve. 2. To suffer extreme hunger or thirst, so as to be exhausted in strength, or to come near to perish. You are all resolved rather to die than to famish Shak. 3. To suffer extremity from deprivation of anything essential or necessary. The Lord will not suffer the soul of the righteous to famish. Prov. x. 3.
famishment |State of being famished.
famosity |The state or quality of being famous. [Obs.] Johnson.
famous |Celebrated in fame or public report; renowned; mach talked of; distinguished in story; -- used in either a good or a bad sense, chiefly the former; often followed by for; as, famous for erudition, for eloquence, for military skill; a famous pirate. Famous for a scolding tongue. Shak. Syn. -- Noted; remarkable; signal; conspicuous; celebrated; renowned; illustrious; eminent; transcendent; excellent. -- Famous, Renowned, Illustrious. Famous is applied to a person or thing widely spoken of as extraordinary; renowned is applied to those who are named again and again with honor; illustrious, to those who have dazzled the world by the splendor of their deeds or their virtues. See Distinguished.
famoused |Renowned. [Obs.] Shak.
famously |In a famous manner; in a distinguished degree; greatly; splendidly. Then this land was famously enriched With politic grave counsel. Shak.
famousness |The state of being famous.
famular |Domestic; familiar. [Obs.] Chaucer.
famulate |To serve. [Obs.]
famulist |A collegian of inferior rank or position, corresponding to the sizar at Cambridge. [Oxford Univ., Eng.]
fan |1. An instrument used for producing artificial currents of air, by the wafting or revolving motion of a broad surface; as: (a) An instrument for cooling the person, made of feathers, paper, silk, etc., and often mounted on sticks all turning about the same pivot, so as when opened to radiate from the center and assume the figure of a section of a circle. (b) (Mach.) Any revolving vane or vanes used for producing currents of air, in winnowing grain, blowing a fire, ventilation, etc., or for checking rapid motion by the resistance of the air; a fan blower; a fan wheel. (c) An instrument for winnowing grain, by moving which the grain is tossed and agitated, and the chaff is separated and blown away. (d) Something in the form of a fan when spread, as a peacock's tail, a window, etc. (e) A small vane or sail, used to keep the large sails of a smock windmill always in the direction of the wind. Clean provender, which hath been winnowed with the shovel and with the fan. Is. xxx. 24. 2. That which produces effects analogous to those of a fan, as in exciting a flame, etc.; that which inflames, heightens, or strengthens; as, it served as a fan to the flame of his passion. 3. A quintain; -- from its form. [Obs.] Chaucer. Fan blower, a wheel with vanes fixed on a rotating shaft inclosed in a case or chamber, to create a blast of air (fan blast) for forge purposes, or a current for draft and ventilation; a fanner. -- Fan cricket (Zoöl.), a mole cricket. -- Fan light (Arch.), a window over a door; -- so called from the semicircular form and radiating sash bars of those windows which are set in the circular heads of arched doorways. -- Fan shell (Zoöl.), any shell of the family Pectinidæ. See Scallop, n., 1. -- Fan tracery (Arch.), the decorative tracery on the surface of fan vaulting. -- Fan vaulting (Arch.), an elaborate system of vaulting, in which the ribs diverge somewhat like the rays of a fan, as in Henry VII.'s chapel in Westminster Abbey. It is peculiar to English Gothic. -- Fan wheel, the wheel of a fan blower. -- Fan window. Same as Fan light (above).\n\n1. To move as with a fan. The air . . . fanned with unnumbered plumes. Milton. 2. To cool and refresh, by moving the air with a fan; to blow the air on the face of with a fan. 3. To ventilate; to blow on; to affect by air put in motion. Calm as the breath which fans our eastern groves. Dryden. 4. To winnow; to separate chaff from, and drive it away by a current of air; as, to fan wheat. Jer. li. 2. 5. To excite or stir up to activity, as a fan axcites a flame; to stimulate; as, this conduct fanned the excitement of the populace. Fanning machine, or Fanning mill, a machine for separating seed from chaff, etc., by a blast of air; a fanner.
fan palm |Any palm tree having fan-shaped or radiate leaves; as the Chamærops humilis of Southern Europe; the species of Sabal and Thrinax in the West Indies, Florida, etc.; and especially the great talipot tree (Corypha umbraculifera) of Ceylon and Malaya. The leaves of the latter are often eighteen feet long and fourteen wide, and are used for umbrellas, tents, and roofs. When cut up, they are used for books and manuscripts.
fan-nerved |Having the nerves or veins arranged in a radiating manner; -- said of certain leaves, and of the winfs of some insects.
fan-tailed |Having an expanded, or fan-shaped, tail; as, the fan-tailed pigeon.
fan-tan |1. A Chinese gambling game in which coins or other small objects are placed upon a table, usually under a cup, and the players bet as to what remainder will be left when the sum of the counters is divided by four. 2.  A game with playing cards in which the cards are played in sequences upon the table, the one who first gets rid of his cards being the winner.
fanal |A lighthouse, or the apparatus placed in it for giving light.
fanatic |Pertaining to, or indicating, fanaticism; extravagant in opinions; ultra; unreasonable; excessively enthusiastic, especially on religious subjects; as, fanatic zeal; fanatic notions. But Faith, fanatic Faith, once wedded fast To some dear falsehood, hugs it to the last. T. Moore.\n\nA person affected by excessive enthusiasm, particularly on religious subjects; one who indulges wild and extravagant notions of religion. There is a new word, coined within few months, called fanatics, which, by the close stickling thereof, seemeth well cut out and proportioned to signify what is meant thereby, even the sectaries of our age. Fuller (1660). Fanatics are governed rather by imagination than by judgment. Stowe.
fanatical |Characteristic of, or relating to, fanaticism; fanatic. - Fa*nat\"ic*al*ly, adv. -- Fa*nat\"ic*al*ness, n.
fanaticism |Excessive enthusiasm, unreasoning zeal, or wild and extravagant notions, on any subject, especially religion; religious frenzy. Syn. -- See Superstition.
fanaticize |To cause to become a fanatic.
fanatism |Fanaticism. [R.] Gibbon.
fancied |Formed or conceived by the fancy; unreal; as, a fancied wrong.
fancier |1. One who is governed by fancy. \"Not reasoners, but fanciers.\" Macaulay. 2. One who fancies or has a special liking for, or interest in, a particular object or class or objects; hence, one who breeds and keeps for sale birds and animals; as, bird fancier, dog fancier, etc.
fanciful |1. Full of fancy; guided by fancy, rather than by reason and experience; whimsical; as, a fanciful man forms visionary projects. 2. Conceived in the fancy; not consistent with facts or reason; abounding in ideal qualities or figures; as, a fanciful scheme; a fanciful theory. 3. Curiously shaped or constructed; as, she wore a fanciful headdress. Gather up all fancifullest shells. Keats. Syn. -- Imaginative; ideal; visionary; capricious; chimerical; whimsical; fantastical; wild. -- Fanciful, Fantastical, Visionary. We speak of that as fanciful which is irregular in taste and judgment; we speak of it as fantastical when it becomes grotesque and extravagant as well as irregular; we speak of it as visionary when it is wholly unfounded in the nature of things. Fanciful notions are the product of a heated fancy, without any tems are made up of oddly assorted fancies, aften of the most whimsical kind; visionary expectations are those which can never be realized in fact. -- Fan\"ci*ful*ly, adv. -Fan\"ci*ful*ness, n.
fanciless |Having no fancy; without ideas or imagination. [R.] A pert or bluff important wight, Whose brain is fanciless, whose blood is white. Armstrong.
fancy |1. The faculty by which the mind forms an image or a representation of anything perceived before; the power of combining and modifying such objects into new pictures or images; the power of readily and happily creating and recalling such objects for the purpose of amusement, wit, or embellishment; imagination. In the soul Are many lesser faculties, that serve Reason as chief. Among these fancy next Her office holds. Milton. 2. An image or representation of anything formed in the mind; conception; thought; idea; conceit. How now, my lord ! why do you keep alone, Of sorriest fancies your companoins making Shak. 3. An opinion or notion formed without much reflection; caprice; whim; impression. I have always had a fancy that learning might be made a play and recreation to children. Locke. 4. Inclination; liking, formed by caprice rather than reason; as, to strike one's fancy; hence, the object of inclination or liking. To fit your fancies to your father's will. Shak. 5. That which pleases or entertains the taste or caprice without much use or value. London pride is a pretty fancy for borders. Mortimer. 6. A sort of love song or light impromptu ballad. [Obs.] Shak. The fancy, all of a class who exhibit and cultivate any peculiar taste or fancy; hence, especially, sporting characters taken collectively, or any specific class of them, as jockeys, gamblers, prize fighters, etc. At a great book sale in London, which had congregated all the fancy. De Quincey. Syn. -- Imagination; conceit; taste; humor; inclination; whim; liking. See Imagination.\n\n1. To figure to one's self; to believe or imagine something without proof. If our search has reached no farther than simile and metaphor, we rather fancy than know. Locke. 2. To love. [Obs.] Shak.\n\n1. To form a conception of; to portray in the mind; to imagine. He whom I fancy, but can ne'er express. Dryden. 2. To have a fancy for; to like; to be pleased with, particularly on account of external appearance or manners. \"We fancy not the cardinal.\" Shak. 3. To believe without sufficient evidence; to imagine (something which is unreal). He fancied he was welcome, because those arounde him were his kinsmen. Thackeray.\n\n1. Adapted to please the fancy or taste; ornamental; as, fancy goods. 2. Extravagant; above real value. This anxiety never degenerated into a monomania, like that which led his [Frederick the Great's] father to pay fancy prices for giants. Macaulay. Fancy ball, a ball in which porsons appear in fanciful dresses in imitation of the costumes of different persons and nations. -- Fancy fair, a fair at which articles of fancy and ornament are sold, generally for some charitable purpose. -- Fancy goods, fabrics of various colors, patterns, etc., as ribbons, silks, laces, etc., in distinction from those of a simple or plain color or make. -- Fancy line (Naut.), a line rove through a block at the jaws of a gaff; -- used to haul it down. Fancy roller (Carding Machine), a clothed cylinder (usually having straight teeth) in front of the doffer. -- Fancy stocks, a species of stocks which afford great opportunity for stock gambling, since they have no intrinsic value, and the fluctuations in their prices are artificial. -- Fancy store, one where articles of fancy and ornament are sold. -- Fancy woods, the more rare and expensive furniture woods, as mahogany, satinwood, rosewood, etc.
fancy-free |Free from the power of love. \"In maiden meditation, fancy- free.\" Shak.
fancy-sick |Love-sick. Shak.
fancymonger |A lovemonger; a whimsical lover. [Obs.] Shak.
fancywork |Ornamental work with a needle or hook, as embroidery, crocheting, netting, etc.
fand |imp. of Find. Spenser.
fandango |1. A lively dance, in 3-8 or 6-8 time, much practiced in Spain and Spanish America. Also, the tune to which it is danced. 2. A ball or general dance, as in Mexico. [Colloq.]
fane |A temple; a place consecrated to religion; a church. [Poet.] Such to this British Isle, her Christian fanes. Wordsworth.\n\nA weathercock. [Obs.]
fanega |A dry measure in Spain and Spanish America, varying from 1 De Colange.
fanfare |A flourish of trumpets, as in coming into the lists, etc.; also, a short and lively air performed on hunting horns during the chase. The fanfare announcing the arrival of the various Christian princes. Sir W. Scott.
fanfaron |A bully; a hector; a swaggerer; an empty boaster. [R.] Dryden.
fanfaronade |A swaggering; vain boasting; ostentation; a bluster. Swift.
fanfoot |(a) A species of gecko having the toes expanded into large lobes for adhesion. The Egyptian fanfoot (Phyodactylus gecko) is believed, by the natives, to have venomous toes. (b) Any moth of the genus Polypogon.
fang |1. To catch; to seize, as with the teeth; to lay hold of; to gripe; to clutch. [Obs.] Shak. He's in the law's clutches; you see he's fanged. J. Webster. 2. To enable to catch or tear; to furnish with fangs. \"Chariots fanged with scythes.\" Philips.\n\n1. (Zoöl.)  The tusk of an animal, by which the prey is seized and held or torn; a long pointed tooth; esp., one of the usually erectile, venomous teeth of serpents. Also, one of the falcers of a spider. Since I am a dog, beware my fangs. Shak. 2. Any shoot or other thing by which hold is taken. The protuberant fangs of the yucca. Evelyn. 3. (Anat.)  The root, or one of the branches of the root, of a tooth. See Tooth. 4. (Mining)  A niche in the side of an adit or shaft, for an air course. Knight. 5. (Mech.)  A projecting tooth or prong, as in a part of a lock, or the plate of a belt clamp, or the end of a tool, as a chisel, where it enters the handle. 6. (Naut.) (a) The valve of a pump box. (b) A bend or loop of a rope. In a fang, fast entangled. -- To lose the fang, said of a pump when the water has gone out; hence: To fang a pump, to supply it with the water necessary to make it operate. [Scot.]
fanged |Having fangs or tusks; as, a fanged adder. Also used figuratively.
fangle |Something new-fashioned; a foolish innovation; a gewgaw; a trifling ornament.\n\nTo fashion. [Obs.] To control and new fangle the Scripture. Milton.
fangled |New made; hence, gaudy; showy; vainly decorated. [Obs., except with the prefix new.] See Newfangled. \"Our fangled world.\" Shak.
fangleness |Quality of being fangled. [Obs.] He them in new fangleness did pass. Spenser.
fangless |Destitute of fangs or tusks. \"A fangless lion.\" Shak.
fangot |A quantity of wares, as raw silk, etc., from one hundred weight.
fanion |1. (Mil.)  A small flag sometimes carried at the head of the baggage of a brigade. [Obs.] 2. A small flag for marking the stations in surveying.
fanlike |Resembling a fan; -- specifically (Bot.), folded up like a fan, as certain leaves; plicate.
fannel |Same as Fanon.
fanner |1. One who fans. Jer. li. 2. 2. A fan wheel; a fan blower. See under Fan.
fanon |A term applied to various articles, as: (a) A peculiar striped scarf worn by the pope at mass, and by eastern bishops. (b) A maniple. [Written also fannel, phanon, etc.]
fantad |State of worry or excitement; fidget; fuss; also, indisposition; pet; sulks. [Slang]
fantail |(a) A variety of the domestic pigeon, so called from the shape of the tail. (b) Any bird of the Australian genus Rhipidura, in which the tail is spread in the form of a fan during flight. They belong to the family of flycatchers.
fantasia |A continuous composition, not divided into what are called movements, or governed by the ordinary rules of musical design, but in which the author's fancy roves unrestricted by set form.
fantasied |Filled with fancies or imaginations. [Obs.] Shak.
fantasm |Same as Phantasm.
fantast |One whose manners or ideas are fantastic. [R.] Coleridge.
fantastic |1. Existing only in imagination; fanciful; imaginary; not real; chimerical. 2. Having the nature of a phantom; unreal. Shak. 3. Indulging the vagaries of imagination; whimsical; full of absurd fancies; capricious; as, fantastic minds; a fantastic mistress. 4. Resembling fantasies in irregularity, caprice, or eccentricity; irregular; oddly shaped; grotesque. There at the foot of yonder nodding beech, That wreathes its old fantastic roots so high. T. Gray. Syn. -- Fanciful; imaginative; ideal; visionary; capricious; chimerical; whimsical; queer. See Fanciful.\n\nA person given to fantastic dress, manners, etc.; an eccentric person; a fop. Milton. Our fantastics, who, having a fine watch, take all ocasions to drow it out to be seen. Fuller.
fantastic-alness |The quality of being fantastic.
fantastical |Fanciful; unreal; whimsical; capricious; fantastic.
fantasticality |Fantastically. [Obs.]
fantastically |In a fantastic manner. the letter A, in scarlet, fantastically embroidered with gold thread, upon her bosom. Hawthorne.
fantasticism |The quality of being fantastical; fancifulness; whimsicality. Ruskin.
fantasticly |Fantastically. [Obs.]
fantasticness |Fantasticalness. [Obs.]
