cadetship |The position, rank, or commission of a cadet; as, to get a cadetship.
calyptra |A little hood or veil, resembling an extinguisher in form and position, covering each of the small flaskike capsules which contain the spores of mosses; also, any similar covering body.
calyptriform |Having the form a calyptra, or extinguisher.
calyx |1. (Bot.)  The covering of a flower. See Flower. Note: The calyx is usually green and foliaceous, but becomes delicate and petaloid in such flowers as the anemone and the four-o'clock. Each leaf of the calyx is called a sepal. 2. (Anat.)  A cuplike division of the pelvis of the kidney, which surrounds one or more of the renal papilæ.
calzoons |Drawers. [Obs.]
cam |1. (Med.) (a) A turning or sliding piece which, by the shape of its periphery or face, or a groove in its surface, imparts variable or intermittent motion to, or receives such motion from, a rod, lever, or block brought into sliding or rolling contact with it. (b) A curved wedge, movable about an axis, used for forcing or clamping two pieces together. (c) A projecting part of a wheel or other moving piece so shaped as to give alternate or variable motion to another piece against which its acts. Note: Cams are much used in machinery involving complicated, and irregular movements, as in the sewing machine, pin machine, etc. 2. A ridge or mound of earth. [Prow. Eng.] Wright. Cam wheel (Mach.), a wheel with one or more projections (cams) or depressions upon its periphery or upon its face; one which is set or shaped eccentrically, so that its revolutions impart a varied, reciprocating, or intermittent motion.\n\nCrooked. [Obs.]
camaieu |1. A cameo. [Obs.] Crabb. 2. (Fine Arts)  Painting in shades of one color; monochrome. Mollett.
camail |1. (Ancient Armor)  A neck guard of chain mall, hanging from the bascinet or other headpiece. 2. A hood of other material than mail; esp. (Eccl.), a hood worn in church services, -- the amice, or the like.
camara |Chamber; house; -- used in Ca\"ma*ra dos Pa\"res, and Ca\"ma*ra dos De`pu*ta\"dos. See Legislature.
camara dos pares |Chamber; house; -- used in Ca\"ma*ra dos Pa\"res, and Ca\"ma*ra dos De`pu*ta\"dos. See Legislature.
camaraderie |Comradeship and loyalty. The spirit of camaraderie is strong among these riders of the plains. W. A. Fraser.
camarados deputados |Chamber; house; -- used in Ca\"ma*ra dos Pa\"res, and Ca\"ma*ra dos De`pu*ta\"dos. See Legislature.
camarasaurus |A genus of gigantic American Jurassic dinosaurs, having large cavities in the bodies of the dorsal vertebræ.
camarilla |1. The private audience chamber of a king. 2. A company of secret and irresponsible advisers, as of a king; a cabal or clique.
camass |A blue-flowered liliaceous plant (Camassia esculenta) of northwestern America, the bulbs of which are collected for food by the Indians. [Written also camas, cammas, and quamash.] Note: The Eastern cammass is Camassia Fraseri.
camber |1. (Shipbuilding)  An upward convexity of a deck or other surface; as, she has a high camber (said of a vessel having an unusual convexity of deck). 2. (Arch.)  An upward concavity in the under side of a beam, girder, or lintel; also, a slight upward concavity in a straight arch. See Hogback. Camber arch (Arch.), an arch whose intrados, though apparently straight, has a slightly concave curve upward. -- Camber beam (Arch.), a beam whose under side has a concave curve upward.\n\nTo cut bend to an upward curve; to construct, as a deck, with an upward curve.\n\nTo curve upward.
camberkeeled |Having the keel arched upwards, but not actually hogged; -- said of a ship.
cambial |Belonging to exchanges in commerce; of exchange. [R.]
cambist |A banker; a money changer or broker; one who deals in bills of exchange, or who is skilled in the science of exchange.
cambistry |The science of exchange, weight, measures, etc.
cambium |1. (Bot.)  A series of formative cells lying outside of the wood proper and inside of the inner bark. The growth of new wood takes place in the cambium, which is very soft. 2. (Med.)  A fancied nutritive juice, formerly supposed to orgiginate in the blood, to repair losses of the system, and to promote its increase. Dunglison.
camblet |See Camlet.
camboge |See Gamboge.
camboose |See Caboose.
cambrasine |A kind of linen cloth made in Egypt, and so named from its resemblance to cambric.
cambrel |See Gambrel, n., 2. Wright.
cambria |The ancient Latin name of Wales. It is used by modern poets.
cambrian |1. (Geog.)  Of or pertaining to Cambria or Wales. 2. (Geol.)  Of or pertaining to the lowest subdivision of the rocks of the Silurian or Molluscan age; -- sometimes described as inferior to the Silurian. It is named from its development in Cambria or Wales. See the Diagram under Geology.\n\n1. A native of Cambria or Wales. 2. (Geol.)  The Cambrian formation.
cambric |1. A fine, thin, and white fabric made of flax or linen. He hath ribbons of all the colors i' the rainbow; . . . inkles, caddises, cambrics, lawns. Shak. 2. A fabric made, in imitation of linen cambric, of fine, hardspun cotton, often with figures of various colors; -- also called cotton cambric, and cambric muslin.
cambro-briton |A Welshman.
cambrobriton |A Welshman.
came |imp. of Come.\n\nA slender rod of cast lead, with or without grooves, used, in casements and stained-glass windows, to hold together the panes or pieces of glass.
camel |1. (Zoöl.)  A large ruminant used in Asia and Africa for carrying burdens and for riding. The camel is remarkable for its ability to go a long time without drinking. Its hoofs are small, and situated at the extremities of the toes, and the weight of the animal rests on the callous. The dromedary (Camelus dromedarius) has one bunch on the back, while the Bactrian camel (C. Bactrianus) has two. The llama, alpaca, and vicuña, of South America, belong to a related genus (Auchenia). 2. (Naut.)  A watertight structure (as a large box or boxes) used to assist a vessel in passing over a shoal or bar or in navigating shallow water. By admitting water, the camel or camels may be sunk and attached beneath or at the sides of a vessel, and when the water is pumped out the vessel is lifted. Camel bird (Zoöl.), the ostrich. -- Camel locust (Zoöl.), the mantis. -- Camel's thorn (Bot.), a low, leguminous shrub (Alhagi maurorum) of the Arabian desert, from which exudes a sweetish gum, which is one of the substances called manna.
camel-backed |Having a back like a camel; humpbacked. Fuller.
camelbacked |Having a back like a camel; humpbacked. Fuller.
cameleon |See Chaceleon. [Obs.]
camellia |An Asiatic genus of small shrubs, often with shining leaves and showy flowers. Camelia Japonica is much cultivated for ornament, and C. Sassanqua and C. Oleifera are grown in China for the oil which is pressed from their seeds. The tea plant is now referred to this genus under the name of Camellia Thea.
camelopard |An African ruminant; the giraffe. See Giraffe.
camelot |See Camelet. [Obs.]
camelry |Troops that are mounted on camels.
camelshair |Of camel's hair. Camel's-hair pencil, a small brush used by painters in water colors, made of camel's hair or similar materials. -- Camel's-hair shawl. A name often given to a cashmere shawl. See Cashmere shawl under Cashmere.
camembert |A kind of soft, unpressed cream cheese made in the vicinity of Camembert, near Argentan, France; also, any cheese of the same type, wherever made.
camembert cheese |A kind of soft, unpressed cream cheese made in the vicinity of Camembert, near Argentan, France; also, any cheese of the same type, wherever made.
cameo |A carving in relief, esp. one on a small scale used as a jewel for personal adornment, or like. Note: Most cameos are carved in a material which has layers of different colors, such stones as the onyx and sardonyx, and various kinds of shells, being used. Cameo conch (Zoöl.), a large, marine, univalve shell, esp. Cassis cameo, C. rua, and allied species, used for cutting cameos. See Quern conch.
camera |A chamber, or instrument having a chamber. Specifically: The camera obscura when used in photography. See Camera, and Camera obscura. Bellows camera. See under Bellows. -- In camera (Law), in a judge's chamber, that is, privately; as, a judge hears testimony which is not fit for the open court in camera. -- Panoramic, or Pantascopic, camera, a photographic camera in which the lens and sensitized plate revolve so as to expose adjacent parts of the plate successively to the light, which reaches it through a narrow vertical slit; -- used in photographing broad landscapes. Abney.
camera lucida |An instrument which by means of a prism of a peculiar form, or an arrangement of mirrors, causes an apparent image of an external object or objects to appear as if projected upon a plane surface, as of paper or canvas, so that the outlines may conveniently traced. It is generally used with the microscope.
camera obscura |1. An apparatus in which the images of extermal objects, formed by a convex lens or a concave mirror, are thrown on a paper or other white surface placed in the focus of the lens or mirror within a darkened chamber, or box, so that the oulines may be traced. 2. (Photog.)  An apparatus in which the image of an external object or objects is, by means of lenses. thrown upon a sensitized plate or surface placed at the back or an extensible darkened box or chamber variously modifled; -- commonly called simply the camera.
camerade |See Comrade, [Obs.]
cameralistic |Of or pertaining to finance and public revenue.
cameralistics |The science of finance or public revenue.
camerate |1. To build in the form of a vault; to arch over. 2. To divide into chambers.
cameration |A vaulting or arching over. [R.]
camerlingo |The papal chamberlain; the cardinal who presides over the pope's household. He has at times possessed great power. [Written also camerlengo and camarlengo.]
cameronian |A follower of the Rev. Richard Cameron, a Scotch Covenanter of the time of Charies II. Cameron and others refused to accept the \"indulgence\" offered the Presbyterian clergy, insisted on the Solemn league and Covenant, and in 1680 declared Charles II deposed for tyranny, breach of faith, etc. Cameron was killed at the battle of Airdmoss, but his followers became a denomination (afterwards called Reformed Presbyterians) who refused to recognize laws or institutions which they believed contrary to the kingdom of Christ, but who now avail themselves of political rights.
camis |A light, loose dress or robe. [Also written camus.] [Obs.] All in a camis light of purple silk. Spenser.
camisade |(a) A shirt worn by soldiers over their uniform, in order to be able to recognize one another in a night attack. (b) An attack by surprise by soldiers wearing the camisado. Give them a camisado in night season. Holinshed.
camisado |(a) A shirt worn by soldiers over their uniform, in order to be able to recognize one another in a night attack. (b) An attack by surprise by soldiers wearing the camisado. Give them a camisado in night season. Holinshed.
camisard |One of the French Protestant insurgents who rebelled against Louis XIV, after the revocation of the edict of Nates; -- so called from the peasant's smock (camise) which they wore.
camisated |Dressed with a shirt over the other garments.
camisole |1. A short dressing jacket for women. 2. A kind of straitjacket.
camlet |A woven fabric originally made of camel's hair, now chiefly of goat's hair and silk, or of wool and cotton. [Sometimes written camelot and camblet.] Note: They have been made plain and twilled, of sigle warp and weft, of double warp, and sometimes with double weft also, with thicker yarn. Beck (Draper's Dict. )
camleted |Wavy or undulating like camlet; veined. Sir T. Herbert.
cammas |See Camass.
cammock |A plant having long hard, crooked roots, the Ononis spinosa; -- called also rest-harrow. The Scandix Pecten-Veneris is also called cammock.
camomile |A genus of herbs (Anthemis) of the Composite family. The common camomile, A. nobilis, is used as a popular remedy. Its flowers have a strong and fragrant and a bitter, aromatic taste. They are tonic, febrifugal, and in large doses emetic, and the volatile oil is carminative.
camonflet |A small mine, sometimes formed in the wall or side of an enemy's gallery, to blow in the earth and cut off the retreat of the miners. Farrow.
camorra |A secret organization formed at Naples, Italy, early in the 19th century, and used partly for political ends and partly for practicing extortion, violence, etc. -- Ca*mor\"rist (#), n.
camous |Flat; depressed; crooked; -- said only of the nose. [Obs.]
camoused |Depressed; flattened. [Obs.] Though my nose be cammoused. B. Jonson
camously |Awry. [Obs.] Skelton.
camoys |Flat; depressed; crooked; -- said only of the nose. [Obs.]
camp |1. The ground or spot on which tents, huts, etc., are erected for shelter, as for an army or for lumbermen, etc. Shzk. 2. A collection of tents, huts, etc., for shelter, commonly arranged in an orderly manner. Forming a camp in the neighborhood of Boston. W. Irving. 3. A single hut or shelter; as, a hunter's camp. 4. The company or body of persons encamped, as of soldiers, of surveyors, of lumbermen, etc. The camp broke up with the confusion of a flight. Macaulay. 5. (Agric.)  A mound of earth in which potatoes and other vegetables are stored for protection against frost; -- called also burrow and pie. [Prov. Eng.] 6. Etym: [Cf. OE. & AS. camp contest, battle. See champion.]  An ancient game of football, played in some parts of England. Halliwell. Camp bedstead, a light bedstead that can be folded up onto a small space for easy transportation. -- camp ceiling (Arch.), a kind ceiling often used in attics or garrets, in which the side walls are inclined inward at the top, following the slope of the rafters, to meet the plane surface of the upper ceiling. -- Camp chair, a light chair that can be folded up compactly for easy transportation; the seat and back are often made of strips or pieces of carpet. -- Camp fever, typhus fever. -- Camp follower, a civilian accompanying an army, as a sutler, servant, etc. -- Camp meeting, a religious gathering for open-air preaching, held in some retired spot, chiefty by Methodists. It usualy last for several days, during which those present lodge in tents, temporary houses, or cottages. -- Camp stool, the same as camp chair, except that the stool has no back. -- Flying camp (Mil.), a camp or body of troops formed for rapid motion from one place to another. Farrow. -- To pitch (a) camp, to set up the tents or huts of a camp. -- To strike camp, to take down the tents or huts of a camp.\n\nTo afford rest or lodging for, as an army or travelers. Had our great palace the capacity To camp this host, we all would sup together. Shak.\n\n1. To pitch or prepare a camp; to encamp; to lodge in a camp; -- often with out. They camped out at night, under the stars. W. Irving. 2. Etym: [See Camp, n., 6]  To play the game called camp. [Prov. Eng.] Tusser.
campagna |An open level tract of country; especially \"Campagna di Roma.\" The extensive undulating plain which surrounds Rome. Note: Its length is commonly stated to be about ninety miles, and its breadth from twenty-seven to forty miles. The ground is almost entirely volcanic, and vapors which arise from the district produce malaria.
campagnol |A mouse (Arvicala agrestis), called also meadow mouse, which often does great damage in fields and gardens, by feeding on roots and seeds.
campaign |1. An open field; a large, open plain without considerable hills. SeeChampaign. Grath. 2. (Mil.)  A connected series of military operations forming a distinct stage in a war; the time during which an army keeps the field. Wilhelm. 3. Political operations preceding an election; a canvass. [Cant, U. S.] 4. (Metal.)  The period during which a blast furnace is continuously in operation.\n\nTo serve in a campaign.
campaigner |One who has served in an army in several campaigns; an old soldier; a veteran.
campana |1. (Eccl.)  A church bell. 2. (Bot.)  The pasque flower. Drayton. 3. (Doric Arch.)  Same as Gutta.
campaned |Furnished with, or bearing, campanes, or bells.
campanero |The bellbird of South America. See Bellbird.
campanes |Bells. [R.]
campania |Open country. Sir W. Temple.
campaniform |Bell-shaped.
campanile |A bell tower, esp. one built separate from a church. Many of the campaniles od Italy are lofty and magnificent atructures. Swift.
campaniliform |Bell-shaped; campanulate; campaniform.
campanologist |One skilled in campanology; a bell ringer.
campanology |The art of ringing bells, or a treatise on the art.
campanula |A large genus of plants bearing bell-shaped flowers, often of great beauty; -- also called bellflower.
campanulaceous |Of pertaining to, or resembling, the family of plants (Camponulaceæ) of which Campanula is the type, and which includes the Canterbury bell, the harebell, and the Venus's looking-glass.
campanularian |A hydroid of the family ampanularidæ, characterized by having the polyps or zooids inclosed in bell-shaped calicles or hydrothecæ.
campanulate |Bell-shaped.
campbellite |A member of the denomination called Christians or Disciples of Christ. They themselves repudiate the term Campbellite as a nickname. See Christian, 3.
campeachy wood |Logwood.
camper |One who lodges temporarily in a hut or camp.
campestral |Relating to an open fields; drowing in a field; growing in a field, or open ground.
campestrian |Relating to an open fields; drowing in a field; growing in a field, or open ground.
campfight |A duel; the decision of a case by a duel.
camphene |One of a series of substances C10H16, resembling camphor, regarded as modified terpenes.
camphine |Rectified oil of turpentine, used for burning in lamps, and as a common solvent in varnishes. Note: The name is also applied to a mixture of this substance with three times its volume of alcohol and sometimes a little ether, used as an illuminant.
camphire |An old spelling of Camphor.
camphogen |See Cymene.
camphol |See Borneol.
camphor |1. A tough, white, aromatic resin, or gum, obtained from different species of the Laurus family, esp. from Cinnamomum camphara (the Laurus camphara of Linnæus.). Camphor, C10H16O, is volatile and fragrant, and is used in medicine as a diaphoretic, a stimulant, or sedative. 2. A gum resembing ordinary camphor, obtained from a tree (Dryobalanops camphora) growing in Sumatra and Borneo; -- called also Malay camphor, camphor of Borneo, or borneol. See Borneol. Note: The name camphor is also applied to a number of bodies of similar appearance and properties, as cedar camphor, obtained from the red or pencil cedar (Juniperus Virginiana), and peppermint camphor, or menthol, obtained from the oil of peppermint. Camphor oil (Chem.), name variously given to certain oil-like products, obtained especially from the camphor tree. -- Camphor tree, a large evergreen tree (Cinnamomum Camphora) with lax, smooth branches and shining triple-nerved lanceolate leaves, probably native in China, but now cultivated in most warm countries. Camphor is collected by a process of steaming the chips of the wood and subliming the product.\n\nTo impregnate or wash with camphor; to camphorate. [R.] Tatler.
camphoraceous |Of the nature of camphor; containing camphor. Dunglison.
camphorate |To impregnate or treat with camphor.\n\nA salt of camphoric acid.\n\nCombined or impregnated with camphor. Camphorated oil, an oleaginous preparation containing camphor, much used as an embrocation.
camphoric |Of, pertaining to, or derived from, camphor. Camphoric acid, a white crystallizable substance, C10H16O4, obtained from the oxidation of camphor. Note: Other acid of camphor are campholic acid, C10H18O2, and camphoronic acid, C9H12O5, white crystallizable substances.
camphretic |Pertaining to, or derived from camphor. [R.]
camping |1. Lodging in a camp. 2. Etym: [See Camp, n., 6]  A game of football. [Prov. Eng.]
campion |A plant of the Pink family (Cucubalus bacciferus), bearing berries regarded as poisonous. Bladder campion, a plant of the Pink family (Cucubalus Behen or Silene inflata), having a much inflated calyx. See Behen. -- Rose campion, a garden plant (Lychnis coronaria) with handsome crimsome crimson flowers.
camporated |Combined or impregnated with camphor. Camphorated oil, an oleaginous preparation containing camphor, much used as an embrocation.
campus |The principal grounds of a college or school, between the buildings or within the main inclosure; as, the college campus.
campylospermous |Having seeds grooved lengthwise on the inner face, as in sweet cicely.
campylotropous |Having the ovules and seeds so curved, or bent down upon themselves, that the ends of the embryo are brought close together.
camus |See Camis. [Obs.]
camwood |See Barwood.
can |an obs. form of began, imp. & p. p. of Begin, sometimes used in old poetry. Note: [See Gan.] With gentle words he can faile gree. Spenser.\n\n1. A drinking cup; a vessel for holding liquids. [Shak. ] Fill the cup and fill can, Have a rouse before the morn. Tennyson. 2. A vessel or case of tinned iron or of sheet metal, of various forms, but usually cylindrical; as, a can of tomatoes; an oil can; a milk can. Note: A can may be a cylinder open at the top, as for receiving the sliver from a carding machine, or with a removable cover or stopper, as for holding tea, spices, milk, oysters, etc., or with handle and spout, as for holding oil, or hermetically sealed, in canning meats, fruits, etc. The name is also sometimes given to the small glass or earthenware jar used in canning.\n\nTo preserve by putting in sealed cans [U. S.] \"Canned meats\" W. D. Howells. Canned goods, a general name for fruit, vegetables, meat, or fish, preserved in hermetically sealed cans.\n\n1. To know; to understand. [Obs.] I can rimes of Rodin Hood. Piers Plowman. I can no Latin, quod she. Piers Plowman. Let the priest in surplice white, That defunctive music can. Shak. 2. To be able to do; to have power or influence. [Obs.] The will of Him who all things can. Milton. For what, alas, can these my single arms Shak. Mæcænas and Agrippa, who can most with Cæsar. Beau. & Fl. 3. To be able; -- followed by an infinitive without to; as, I can go, but do not wish to. Syn. -- Can but, Can not but. It is an error to use the former of these phrases where the sens requires the latter. If we say, \"I can but perish if I go,\" \"But\" means only, and denotes that this is all or the worst that can happen. When the apostle Peter said. \"We can not but speak of the things which we have seen and heard.\" he referred to a moral constraint or necessety which rested upon him and his associates; and the meaning was, We cannot help speaking, We cannot refrain from speaking. This idea of a moral necessity or constraint is of frequent occurrence, and is also expressed in the phrase, \"I can not help it.\" Thus we say. \"I can not but hope,\" \"I can not but believe,\" \"I can not but think,\" \"I can not but remark,\" etc., in cases in which it would be an error to use the phrase can but. Yet he could not but acknowledge to himself that there was something calculated to impress awe, . . . in the sudden appearances and vanishings . . . of the masque De Quincey. Tom felt that this was a rebuff for him, and could not but understand it as a left-handed hit at his employer. Dickens.
can buoy |See under Buoy, n.
can hook |A device consisting of a short rope with flat hooks at each end, for hoisting casks or barrels by the ends of the staves.
canaanite |1. A descendant of Canaan, the son of Ham, and grandson of Noah. 2. A Native or inbabitant of the land of Canaan, esp. a member of any of the tribes who inhabited Canaan at the time of the exodus of the Israelites from Egypt.\n\nA zealot. \"Simon the Canaanite.\" Matt. x. 4. Note: This was the \"Simon called Zelotes\" (Luke vi. 15), i.e., Simon the zealot. Kitto.
canaanitish |Of or pertaining to Canaan or the Canaanites.
canada |A small cañon; a narrow valley or glen; also, but less frequently, an open valley. [Local, Western U. S.]\n\nA British province in North America, giving its name to various plants and animals. Canada balsam. See under Balsam. -- Canada goose. (Zoöl.) See Whisky Jack. -- Canada lynx. (Zoöl.) See Lynx. -- Canada porcupine (Zoöl.) See Porcupine, and Urson. -- Canada rice (Bot.) See under Rick. -- Canada robin (Zoöl.), the cedar bird.
canadian |Of or pertaining to Canada. -- n.  A native or inhabitant of Canada. Canadian period (Geol.), A subdivision of the American Lower Silurian system embracing the calciferous, Quebec, and Chazy epochs. This period immediately follows the primordial or Cambrian period, and is by many geologists regarded as the beginning of the Silurian age, See the Diagram, under Geology.
canaille |1. The lowest class of people; the rabble; the vulgar. 2. Shorts or inferior flour. [Canadian]
canakin |A little can or cup. \"And let me the canakin clink.\" Shak.
canal |1. An artificial channel filled with water and designed for navigation, or for irrigating land, etc. 2. (Anat.)  A tube or duct; as, the alimentary canal; the semicircular canals of the ear. Canal boat, a boat for use on a canal; esp. one of peculiar shape, carrying freight, and drawn by horses walking on the towpath beside the canal. Canal lock. See Lock.
canal coal |See Cannel coal.
canaliculate |Having a channel or groove, as in the leafstalks of most palms.
canaliculated |Having a channel or groove, as in the leafstalks of most palms.
canaliculus |A minute canal.
canalization |Construction of, or furnishing with, a canal or canals. [R.]
canape |1. A sofa or divan. 2.  (Cookery) A slice or piece of bread fried in butter or oil, on which anchovies, mushrooms, etc., are served.
canape confident |A sofa having a seat at each end at right angles to the main seats.
canard |An extravagant or absurd report or story; a fabricated sensational report or statement; esp. one set afloat in the newspapers to hoax the public.
canarese |Pertaining to Canara, a district of British India.
canary |1. Of or pertaining to the Canary Islands; as, canary wine; canary birds. 2. Of a pale yellowish color; as, Canary stone. Canary grass, a grass of the genus Phalaris (P. Canariensis), producing the seed used as food for canary birds. -- Canary stone (Min.), a yellow species of carnelian, named from its resemblance in color to the plumage of the canary bird. -- Canary wood, the beautiful wood of the trees Persea Indica and P. Canariensis, natives of Madeira and the Canary Islands. -- Canary vine. See Canary bird flower, under Canary bird.\n\n1. Wine made in the Canary Islands; sack. \"A cup of canary.\" Shak. 2. A canary bird. 3. A pale yellow color, like that of a canary bird. 4. A quick and lively dance. [Obs.] Make you dance canary With sprightly fire and motion. Shak.\n\nTo perform the canary dance; to move nimbly; to caper. [Obs.] But to jig of a tune at the tongue's end, canary to it with your feet. Shak.
canary bird |A small singing bird of the Finch family (Serinus Canarius), a native of the Canary Islands. It was brought to Europe in the 16th century, and made a household pet. It generally has a yellowish body with the wings and tail greenish, but in its wild state it is more frequently of gray or brown color. It is sometimes called canary finch.canary. Canary bird flower (Bot.), a climbing plant (Tropæolum peregrinum) with canary-colored flowers of peculiar form; -- called also canary vine.
canaster |A kind of tobacco for smoking, made of the dried leaves, coarsely broken; -- so called from the rush baskets in which it is packed in South America. McElrath.
cancan |A rollicking French dance, accompanied by indecorous or extravagant postures and gestures.
cancel |1. To inclose or surround, as with a railing, or with latticework. [Obs.] A little obscure place canceled in with iron work is the pillar or stump at which . . . our Savior was scourged. Evelyn. 2. To shut out, as with a railing or with latticework; to exclude. [Obs.] \"Canceled from heaven.\" Milton. 3. To cross and deface, as the lines of a writing, or as a word or figure; to mark out by a cross line; to blot out or obliterate. A deed may be avoided by delivering it up to be cancelled; that is, to have lines drawn over it in the form of latticework or cancelli; the phrase is now used figuratively for any manner of obliterating or defacing it. Blackstone. 4. To annul or destroy; to revoke or recall. The indentures were canceled. Thackeray. He was unwilling to cancel the interest created through former secret services, by being refractory on this occasion. Sir W. Scott. 5. (Print.)  To suppress or omit; to strike out, as matter in type. Canceled figures (Print), figures cast with a line across the face., as for use in arithmetics. Syn. -- To blot out; Obliterate; deface; erase; efface; expunge; annul; abolish; revoke; abrogate; repeal; destroy; do away; set aside. See Abolish.\n\n1. An inclosure; a boundary; a limit. [Obs.] A prison is but a retirement, and opportunity of serious thoughts, to a person whose spirit . . . desires no enlargement beyond the cancels of the body. Jer. Taylor. 2. (Print) (a) The suppression on striking out of matter in type, or of a printed page or pages. (b) The part thus suppressed.
canceleer |The turn of a hawk upon the wing to recover herself, when she misses her aim in the stoop. [Obs.] The fierce and eager hawks, down thrilling from the skies, Make sundry canceliers are they the fowl can reach. Drayton.
cancelier |To turn in flight; -- said of a hawk. [Obs.] Nares. He makes his stoop; but wanting breath, is forced To cancelier. Massinger.\n\nThe turn of a hawk upon the wing to recover herself, when she misses her aim in the stoop. [Obs.] The fierce and eager hawks, down thrilling from the skies, Make sundry canceliers are they the fowl can reach. Drayton.
cancellarean |Cancellarean. [R.]
cancellate |1. (Bot.)  Consisting of a network of veins, without intermediate parenchyma, as the leaves of certain plant; latticelike. 2. (Zoöl.)  Having the surface coveres with raised lines, crossing at right angles.
cancellated |1. Crossbarres; marked with cross lines. Grew. 2. (Anat.)  Open or spongy, as some porous bones.
cancellation |1. The act, process, or result of canceling; as, the cansellation of certain words in a contract, or of the contract itself. 2. (Math.)  The operation of striking out common factora, in both the dividend and divisor.
cancelli |1. An interwoven or latticed wall or inclosure; latticework, rails, or crossbars, as around the bar of a court of justice, between the chancel and the have of a church, or in a window. 2. (Anat.)  The interlacing osseous plates constituting the elastic porous tissue of certain parts of the bones, esp. in their articular extremities.
cancellous |Having a spongy or porous stracture; made up of cancelli; cancellated; as, the cancellous texture of parts of many bones.
cancer |1. (Zoöl.)  A genus of decapod Crustacea, including some of the most common shore crabs of Europe and North America, as the rock crab, Jonah crab, etc. See Crab. 2. (Astron.) (a) The fourth of the twelve signs of the zodiac. The first point is the northern limit of the sun's course in summer; hence, the sign of the summer solstice. See Tropic. (b) A northern constellation between Gemini and Leo. 3. (Med.)  Formerly, any malignant growth, esp. one attended with great pain and ulceration, with cachexia and progressive emaciation. It was so called, perhaps, from the great veins which surround it, compared by the ancients to the claws of a crab. The term it now restricted to such a growth made up of aggregations of epithelial cells, either without support or embedded in the meshes of a trabecular framework. Note: Four kinds of cancers are recognized: (1) Epithelial cancer, or Epithelioma, in which there is no trabecular framework. See Epithelioma. (2) Scirrhous cancer, or Hard cancer, in which the framework predominates, and the tumor is of hard consistence and slow growth. (3) Encephaloid, Medullary, or Soft cancer, in which the cellular element predominates, and the tumor is soft, grows rapidy, and often ulcerates. (4) Colloid cancer, in which the cancerous structure becomes gelatinous. The last three varieties are also called carcinoma. Cancer cells, cells once believed to be peculiar to cancers, but now know to be epithelial cells differing in no respect from those found elsewhere in the body, and distinguished only by peculiarity of location and grouping. -- Cancer root (Bot.), the name of several low plants, mostly parasitic on roots, as the beech drops, the squawroot, etc. -- Tropic of Cancer. See Tropic.
cancerate |To grow into a canser; to become cancerous. Boyle.
canceration |The act or state of becoming cancerous or growing into a cancer.
cancerite |Like a cancer; having the qualities or virulence of a cancer; affected with cancer. \"Cancerous vices.\" G. Eliot. -- Can\"cer*ous*ly, adv. -- Can\"cer*ous*ness, n.
cancerous |Like a cancer; having the qualities or virulence of a cancer; affected with cancer. \"cancerous vices\" G. Eliot. [1913 Webster] -- Can\"cer*ous*ly, adv. --Can\"cer*ous*ness, n.
cancriform |1. Having the form of, or resembling, a crab; crab-shaped. 2. Like a cancer; cancerous.
cancrine |Having the qualities of a crab; crablike.
cancrinite |A mineral occurring in hexagonal crystals, also massive, generally of a yellow color, containing silica, alumina, lime, soda, and carbon dioxide.
cancroid |1. (Zoöl.)  Resembling a crab; pertaining to the Cancroidea, one of the families of crabs, including the genus Cancer. 2. Like a cancer; as, a cancroid tumor.
cand |Fluor spar. See Kand.
candelabrum |1. (Antiq.) (a) A lamp stand of any sort. (b) A highly ornamented stand of marble or other ponderous material, usually having three feet, -- frequently a votive offering to a temple. 2. A large candlestick, having several branches.
candent |Heated to whiteness; glowing with heat. \"A candent vessel.\" Boyle.
canderos |An East Indian resin, of a pellucid white color, from which small ornaments and toys are sometimes made.
candescence |See Inclandescence.
candescent |Glowing; luminous; incandescent.
candicant |Growing white. [Obs.]
candid |1. White. [Obs.] The box receives all black; but poured from thence, The stones came candid forth, the hue of innocence. Dryden. 2. Free from undue bias; disposed to think and judge according to truth and justice, or without partiality or prejudice; fair; just; impartial; as, a candid opinion. \"Candid and dispassionate men.\" W. Irving. 3. Open; frank; ingenuous; outspoken. Syn. -- Fair; open; ingenuous; impartial; just; frank; artless; unbiased; equitable. -- Candid, Fair, Open, Frank, Ingenuous. A man is fair when he puts things on a just or equitable footing; he is candid when be looks impartially on both sides of a subject, doing justice especially to the motives and conduct of an opponent; he is open and frank when he declares his sentiments without reserve; he is ingenuous when he does this from a noble regard for truth. Fair dealing; candid investigation; an open temper; a frank disposition; an ingenuous answer or declaration.
candidacy |The position of a candidate; state of being a candidate; candidateship.
candidate |One who offers himself, or is put forward by others, as a suitable person or an aspirant or contestant for an office, privilege, or honor; as, a candidate for the office of governor; a candidate for holy orders; a candidate for scholastic honors.
candidateship |Candidacy.
