aluminum |See Aluminium.
ample |Large; great in size, extent, capacity, or bulk; spacious; roomy; widely extended. All the people in that ample house Did to that image bow their humble knees. Spenser. 2. Fully sufficient; abundant; liberal; copious; as, an ample fortune; ample justice. 3. Not contracted of brief; not concise; extended; diffusive; as, an ample narrative. Johnson. Syn. -- Full; spacious; extensive; wide; capacious; abundant; plentiful; plenteous; copious; bountiful; rich; liberal; munificent. -- Ample, Copious, Abundant, Plenteous. These words agree in representing a thing as large, but under different relations, according to the image which is used. Ample implies largeness, producing a sufficiency or fullness of supply for every want; as, ample stores or resources, ample provision. Copious carries with it the idea of flow, or of collection at a single point; as, a copious supply of materials. \"Copious matter of my song.\" Milton. Abundant and plenteous refer to largeness of quantity; as, abundant stores; plenteous harvests.
amplectant |Clasping a support; as, amplectant tendrils. Gray.
ampleness |The state or quality of being ample; largeness; fullness; completeness.
amplexation |An embrace. [Obs.] An humble amplexation of those sacred feet. Bp. Hall.
amplexicaul |Clasping or embracing a stem, as the base of some leaves. Gray.
ampliate |To enlarge. [R.] To maintain and ampliate the external possessions of your empire. Udall.\n\nHaving the outer edge prominent; said of the wings of insects.
ampliation |1. Enlargement; amplification. [R.] 2. (Civil Law)  A postponement of the decision of a cause, for further consideration or re-argument.
ampliative |Enlarging a conception by adding to that which is already known or received. \"All bodies possess power of attraction\" is an ampliative judgment; because we can think of bodies without thinking of attraction as one of their immediate primary attribute. Abp. W. Thomson.
amplificate |To amplify. [Obs.] Bailey.
amplification |1. The act of amplifying or enlarging in dimensions; enlargement; extension. 2. (Rhet.)  The enlarging of a simple statement by particularity of description, the use of epithets, etc., for rhetorical effect; diffuse narrative or description, or a dilating upon all the particulars of a subject. Exaggeration is a species of amplification. Brande & C. I shall summarily, without any amplification at all, show in what manner defects have been supplied. Sir J. Davies. 3. The matter by which a statement is amplified; as, the subject was presented without amplifications.
amplificative |Amplificatory.
amplificatory |Serving to amplify or enlarge; amplificative. Morell.
amplifier |One who or that which amplifies.
amplify |1. To render larger, more extended, or more intense, and the like; -- used especially of telescopes, microscopes, etc. 2. (Rhet.)  To enlarge by addition or discussion; to treat copiously by adding particulars, illustrations, etc.; to expand; to make much of. Troilus and Cressida was written by a Lombard author, but much amplified by our English translator. Dryden.\n\n1. To become larger. [Obs.] Strait was the way at first, withouten light, But further in did further amplify. Fairfax. 2. To speak largely or copiously; to be diffuse in argument or description; to dilate; to expatiate; -- often with on or upon. Watts. He must often enlarge and amplify upon the subject he handles. South.
amplitude |1. State of being ample; extent of surface or space; largeness of dimensions; size. The cathedral of Lincoln . . . is a magnificent structure, proportionable to the amplitude of the diocese. Fuller. 2. Largeness, in a figurative sense; breadth; abundance; fullness. (a) Of extent of capacity or intellectual powers. \"Amplitude of mind.\" Milton. \"Amplitude of comprehension.\" Macaulay. (b) Of extent of means or resources. \"Amplitude of reward.\" Bacon. 3. (Astron.) (a) The arc of the horizon between the true east or west point and the center of the sun, or a star, at its rising or setting. At the rising, the amplitude is eastern or ortive: at the setting, it is western, occiduous, or occasive. It is also northern or southern, when north or south of the equator. (b) The arc of the horizon between the true east or west point and the foot of the vertical circle passing through any star or object. 4. (Gun.)  The horizontal line which measures the distance to which a projectile is thrown; the range. 5. (Physics)  The extent of a movement measured from the starting point or position of equilibrium; -- applied especially to vibratory movements. 6. (math.)  An angle upon which the value of some function depends; -- a term used more especially in connection with elliptic functions. Magnetic amplitude, the angular distance of a heavenly body, when on the horizon, from the magnetic east or west point as indicated by the compass. The difference between the magnetic and the true or astronomical amplitude (see 3 above) is the \"variation of the compass.\",
  "freely |In a free manner; without restraint or compulsion; abundantly; gratuitously. Of every tree of the garden thou mayst freely eat. Gen. ii. 16. Freely ye have received, freely give. Matt. x. 8. Freely they stood who stood, and fell who fell. Milton. Freely we serve Because we freely love. Milton. Syn. -- Independently; voluntarily; spontaneously; unconditionally; unobstructedly; willingly; readily; liberally; generously; bounteously; munificently; bountifully; abundantly; largely; copiously; plentifully; plenteously.
amply |In an ample manner.
ampul |Same as Ampulla, 2.
ampulla |1. (Rom. Antiq.)  A narrow-necked vessel having two handles and bellying out like a jug. 2. (Eccl.) (a) A cruet for the wine and water at Mass. (b) The vase in which the holy oil for chrism, unction, or coronation is kept. Shipley. 3. (Biol.)  Any membranous bag shaped like a leathern bottle, as the dilated end of a vessel or duct; especially the dilations of the semicircular canals of the ear.
ampullaceous |Like a bottle or inflated bladder; bottle-shaped; swelling. Kirby. Ampullaceous sac (Zoöl.), one of the peculiar cavities in the tissues of sponges, containing the zooidal cells.
ampullar |Resembling an ampulla.
ampullary |Resembling an ampulla.
ampullate |Having an ampulla; flask-shaped; bellied.
ampullated |Having an ampulla; flask-shaped; bellied.
ampulliform |Flask-shaped; dilated.
amputate |1. To prune or lop off, as branches or tendrils. 2. (Surg.)  To cut off (a limb or projecting part (of the body). Wiseman.
amputation |The act amputating; esp. the operation of cutting of a limb or projecting part of the body.
amputator |One who amputates.
ampyx |A woman's headband (sometimes of metal), for binding the front hair.
amrita |Immorality; also, the nectar conferring immortality. -- a. Ambrosial; immortal.
amsel |The European ring ousel (Turdus torquatus).
amt |An administrative territorial division in Denmark and Norway. Each of the provinces [of Denmark] is divided into several amts, answering . . . to the English hundreds. Encyc. Brit.
amuck |In a frenzied and reckless. To run amuck, to rush out in a state of frenzy, as the Malays sometimes do under the influence of \"bhang,\" and attack every one that comes in the way; to assail recklessly and indiscriminately. Satire's my weapon, but I'm too discreet To run amuck, and tilt at all I meet. Pope.
amulet |An ornament, gem, or scroll, or a package containing a relic, etc., worn as a charm or preservative against evils or mischief, such as diseases and witchcraft, and generally inscribed with mystic forms or characters. Note: [Also used figuratively.]
amuletic |Of or pertaining to an amulet; operating as a charm.
amurcous |Full off dregs; foul. [R.] Knowles.
amusable |Capable of being amused.
amuse |1. To occupy or engage the attention of; to lose in deep thought; to absorb; also, to distract; to bewilder. [Obs.] Camillus set upon the Gauls when they were amused in receiving their gold. Holland. Being amused with grief, fear, and fright, he could not find the house. Fuller. 2. To entertain or occupy in a pleasant manner; to stir with pleasing or mirthful emotions; to divert. A group children amusing themselves with pushing stones from the top [of the cliff], and watching as they plunged into the lake. Gilpin. 3. To keep in extraction; to beguile; to delude. He amused his followers with idle promises. Johnson. Syn. -- To entertain; gratify; please; divert; beguile; deceive; occupy. -- To Amuse, Divert, Entertain. We are amused by that which occupies us lightly and pleasantly. We are entertained by that which brings our minds into agreeable contact with others, as conversation, or a book. We are diverted by that which turns off our thoughts to something of livelier interest, especially of a sportive nature, as a humorous story, or a laughable incident. Whatever amuses serves to kill time, to lull the faculties, and to banish reflection. Whatever entertains usually a wakens the understanding or gratifies the fancy. Whatever diverts is lively in its nature, and sometimes tumultuous in its effects. Crabb.\n\nTo muse; to mediate. [Obs.]
amused |1. Diverted. 2. Expressing amusement; as, an amused look.
amusement |1. Deep thought; muse. [Obs.] Here I . . . fell into a strong and deep amusement, revolving in my mind, with great perplexity, the amazing change of our affairs. Fleetwood. 2. The state of being amused; pleasurable excitement; that which amuses; diversion. His favorite amusements were architecture and gardening. Macaulay. Syn. -- Diversion; entertainment; recreation; relaxation; pastime; sport.
amuser |One who amuses.
amusette |A light field cannon, or stocked gun mounted on a swivel.
amusing |Giving amusement; diverting; as, an amusing story. -- A*mus\"ing*ly, adv.
amusive |Having power to amuse or entertain the mind; fitted to excite mirth. [R.] -- A*mu\"sive*ly, adv. -- A*mu\"sive*ness, n.
amvis |An explosive consisting of ammonium nitrate, a derivative of nitrobenzene, chlorated napthalene, and wood meal.
amy |A friend. [Obs.] Chaucer.
amyelous |Wanting the spinal cord.
amygdala |1. An almond. 2.  (Anat.) (a) One of the tonsils of the pharynx. (b) One of the rounded prominences of the lower surface of the lateral hemispheres of the cerebellum, each side of the vallecula.
amygdalaceous |Akin to, or derived from, the almond.
amygdalate |Pertaining to, resembling, or made of, almonds.\n\n1. (Med.)  An emulsion made of almonds; milk of almonds. Bailey. Coxe. 2. (Chem.)  A salt amygdalic acid.
amygdalic |Of or pertaining to almonds; derived from amygdalin; as, amygdalic acid.
amygdaliferous |Almond-bearing.
amygdalin |A glucoside extracted from bitter almonds as a white, crystalline substance.
amygdaline |Of, pertaining to, or resembling, almonds.
amygdaloid |A variety of trap or basaltic rock, containing small cavities, occupied, wholly or in part, by nodules or geodes of different minerals, esp. agates, quartz, calcite, and the zeolites. When the imbedded minerals are detached or removed by decomposition, it is porous, like lava.\n\n1. Almond-shaped. 2. Pertaining to, or having the nature of, the rock amygdaloid.
amygdaloidal |1. Almond-shaped. 2. Pertaining to, or having the nature of, the rock amygdaloid.
amyl |A hydrocarbon radical, C5H11, of the paraffine series found in amyl alcohol or fusel oil, etc.
amyl alcohol |Any of eight isomeric liquid compounds, C5H11OH; ordinarily, a mixture of two of these forming a colorless liquid with a peculiar cough-exciting odor and burning taste, the chief constituent of fusel oil. It is used as a source of amyl compounds, such as amyl acetate, amyl nitrite, etc.
amyl nitrite |A yellowish oily volatile liquid, C5H11NO2, used in medicine as a heart stimulant and a vasodilator. The inhalation of its vapor instantly produces flushing of the face.
amylaceous |Pertaining to starch; of the nature of starch; starchy.
amylate |A compound of the radical amyl with oxygen and a positive atom or radical.
amylene |One of a group of metameric hydrocarbons, C5H10, of the ethylene series. The colorless, volatile, mobile liquid commonly called amylene is a mixture of different members of the group.
amylic |Pertaining to, or derived from, amyl; as, amylic ether. Amylic alcohol (Chem.), one of the series of alcohols, a transparent, colorless liquid, having a peculiar odor. It is the hydroxide of amyl. -- Amylic fermentation (Chem.), a process of fermentation in starch or sugar in which amylic alcohol is produced. Gregory.
amylobacter |A microörganism (Bacillus amylobacter) which develops in vegetable tissue during putrefaction. Sternberg.
amylogen |That part of the starch granule or granulose which is soluble in water.
amylogenesis |The formation of starch.
amylogenic |1. Of or pert. to amylogen. 2.  Forming starch; -- applied specif. to leucoplasts.
amyloid |1. A non-nitrogenous starchy food; a starchlike substance. 2. (Med.)  The substance deposited in the organs in amyloid degeneration.\n\nResembling or containing amyl; starchlike. Amyloid degeneration (Med.), a diseased condition of various organs of the body, produced by the deposit of an albuminous substance, giving a blue color with iodine and sulphuric acid; -- called also waxy or lardaceous degeneration.
amyloidal |Resembling or containing amyl; starchlike. Amyloid degeneration (Med.), a diseased condition of various organs of the body, produced by the deposit of an albuminous substance, giving a blue color with iodine and sulphuric acid; -- called also waxy or lardaceous degeneration.
amylolysis |The conversion of starch into soluble products, as dextrins and sugar, esp. by the action of enzymes. -- Am`y*lo*lyt\"ic (#), a.
amylolytic |Effecting the conversion of starch into soluble dextrin and sugar; as, an amylolytic ferment. Foster.
amylometer |Instrument for determining the amount of starch in a substance.
amyloplastic |Starch-forming; amylogenic.
amylopsin |The diastase of the pancreatic juice.
