hogpen |A pen or sty for hogs.
honor |1. Esteem due or paid to worth; high estimation; respect; consideration; reverence; veneration; manifestation of respect or reverence. A prophet is not without honor, save in his own country. Matt. xiii. 57. 2. That which rightfully attracts esteem, respect, or consideration; self-respect; dignity; courage; fidelity; especially, excellence of character; high moral worth; virtue; nobleness; specif., in men, integrity; uprightness; trustworthness; in women, purity; chastity. If she have forgot Honor and virtue. Shak. Godlike erect, with native honor clad. Milton. 3. A nice sense of what is right, just, and true, with course of life correspondent thereto; strict conformity to the duty imposed by conscience, position, or privilege. Say, what is honor 'T is the finest sense Of justice which the human mind can frame, Intent each lurking frailty to disclaim, And guard the way of life from all offense Suffered or done. Wordsworth. I could not love thee, dear, so much, Loved I not honor more. Lovelace. 4. That to which esteem or consideration is paid; distinguished position; high rank. \"Restored me to my honors.\" Shak. I have given thee . . . both riches, and honor. 1 Kings iii. 13. Thou art clothed with honor and majesty. Ps. civ. 1. 5. Fame; reputation; credit. Some in theiractions do woo, and affect honor and reputation. Bacon. If my honor is meant anything distinct from conscience, 't is no more than a regard to the censure and esteem of the world. Rogers. 6. A token of esteem paid to worth; a mark of respect; a ceremonial sign of consideration; as, he wore an honor on his breast; military honors; civil honors. \"Their funeral honors.\" Dryden. 7. A cause of respect and fame; a glory; an excellency; an ornament; as, he is an honor to his nation. 8. A title applied to the holders of certain honorable civil offices, or to persons of rank; as, His Honor the Mayor. See Note under Honorable. 9. (Feud. Law)  A seigniory or lordship held of the king, on which other lordships and manors depended. Cowell. 10. pl.  Academic or university prizes or distinctions; as, honors in classics. 11. pl. (Whist)  The ace, king, queen, and jack of trumps. The ten and nine are sometimes called Dutch honors. R. A. Proctor. Affair of honor, a dispute to be decided by a duel, or the duel itself. -- Court of honor, a court or tribunal to investigate and decide questions relating to points of honor; as a court of chivalry, or a military court to investigate acts or omissions which are unofficerlike or ungentlemanly in their nature. -- Debt of honor, a debt contracted by a verbal promise, or by betting or gambling, considered more binding than if recoverable by law. -- Honor bright! An assurance of truth or fidelity. [Colloq.] -- Honor court (Feudal Law), one held in an honor or seignory. -- Honor point. (Her.) See Escutcheon. -- Honors of war (Mil.), distinctions granted to a vanquished enemy, as of marching out from a camp or town armed, and with colors flying. -- Law, or Code, of honor, certain rules by which social intercourse is regulated among persons of fashion, and which are founded on a regard to reputation. Paley. -- Maid of honor, a lady of rank, whose duty it is to attend the queen when she appears in public. -- On one's honor, on the pledge of one's honor; as, the members of the House of Lords in Great Britain, are not under oath, but give their statements or verdicts on their honor. -- Point of honor, a scruple or nice distinction in matters affecting one's honor; as, he raised a point of honor. -- To do the honors, to bestow honor, as on a guest; to act as host or hostess at an entertainment. \"To do the honors and to give the word.\" Pope. -- To do one honor, to confer distinction upon one. -- To have the honor, to have the privilege or distinction. -- Word of honor, an engagement confirmed by a pledge of honor.\n\n1. To regard or treat with honor, esteem, or respect; to revere; to treat with deference and submission; when used of the Supreme Being, to reverence; to adore; to worship. Honor thy father and thy mother. Ex. xx. 12. That all men should honor the Son, even as they honor the Father. John v. 23. It is a custom More honor'd in the breach than the observance. Shak. 2. To dignify; to raise to distinction or notice; to bestow honor upon; to elevate in rank or station; to ennoble; to exalt; to glorify; hence, to do something to honor; to treat in a complimentary manner or with civility. Thus shall it be done to the man whom the king delighten to honor. Esther vi. 9. The name of Cassius honors this corruption. Shak. 3. (Com.)  To accept and pay when due; as, to honora bill of exchange.
honorable |1. Worthy of honor; fit to be esteemed or regarded; estimable; illustrious. Thy name and honorable family. Shak. 2. High-minded; actuated by principles of honor, or a scrupulous regard to probity, rectitude, or reputation. 3. Proceeding from an upright and laudable cause, or directed to a just and proper end; not base; irreproachable; fair; as, an honorable motive. Is this proceeding just and honorable Shak. 4. Conferring honor, or produced by noble deeds. Honorable wounds from battle brought. Dryden. 5. Worthy of respect; regarded with esteem; to be commended; consistent with honor or rectitude. Marriage is honorable in all. Heb. xiii. 4. 6. Performed or accompanied with marks of honor, or with testimonies of esteem; an honorable burial. 7. Of reputable association or use; respectable. Let her descend: my chambers are honorable. Shak. 8. An epithet of respect or distinction; as, the honorable Senate; the honorable gentleman. Note: Honorable is a title of quality, conferred by English usage upon the younger children of earls and all the children of viscounts and barons. The maids of honor, lords of session, and the supreme judges of England and Ireland are entitled to the prefix. In American usage, it is a title of courtesy merely, bestowed upon those who hold, or have held, any of the higher public offices, esp. governors, judges, members of Congress or of the Senate, mayors. Right honorable. See under Right.
honorableness |1. The state of being honorable; eminence; distinction. 2. Conformity to the principles of honor, probity, or moral rectitude; fairness; uprightness; reputableness.
honorably |1. In an honorable manner; in a manner showing, or consistent with, honor. The reverend abbot . . . honorably received him. Shak. Why did I not more honorably starve Dryden. 2. Decently; becomingly. [Obs.] \"Do this message honorably.\" Shak. Syn. -- Magnanimously; generously; nobly; worthily; justly; equitably; fairly; reputably.
honorarium |1. A fee offered to professional men for their services; as, an honorarium of one thousand dollars. S. Longfellow. 2. (Law)  An honorary payment, usually in recognition of services for which it is not usual or not lawful to assign a fixed business price. Heumann.
honorary |1. A fee offered to professional men for their services; as, an honorarium of one thousand dollars. S. Longfellow. 2. (Law)  An honorary payment, usually in recognition of services for which it is not usual or not lawful to assign a fixed business price. Heumann.\n\n1. Done as a sign or evidence of honor; as, honorary services. Macaulay. 2. Conferring honor, or intended merely to confer honor without emolument; as, an honorary degree. \"Honorary arches.\" Addison. 3. Holding a title or place without rendering service or receiving reward; as, an honorary member of a society.
honorer |One who honors.
honorific |Conferring honor; tending to honor. London. Spectator.
honorless |Destitute of honor; not honored. Bp. Warburton.
hont |See under Hunt. [Obs.] Chaucer.
honved |1. The Hungarian army in the revolutionary war of 1848-49. 2.  = Honvédség.
honvedseg |See Army organization, above.
hoo |1. See Ho. [Obs.] Chaucer. 2. Hurrah! -- an exclamation of triumphant joy. Shak.
hood |1. State; condition. [Obs.] How could thou ween, through that disguised hood To hide thy state from being understood Spenser. 2. A covering or garment for the head or the head and shoulders, often attached to the body garment; especially: (a) A soft covering for the head, worn by women, which leaves only the face exposed. (b) A part of a monk's outer garment, with which he covers his head; a cowl. \"All hoods make not monks.\" Shak. (c) A like appendage to a cloak or loose overcoat, that may be drawn up over the head at pleasure. (d) An ornamental fold at the back of an academic gown or ecclesiastical vestment; as, a master's hood. (e) A covering for a horse's head. (f) (Falconry) A covering for a hawk's head and eyes. See Illust. of Falcon. 3. Anything resembling a hood in form or use; as: (a) The top or head of a carriage. (b) A chimney top, often contrived to secure a constant draught by turning with the wind. (c) A projecting cover above a hearth, forming the upper part of the fireplace, and confining the smoke to the flue. (d) The top of a pump. (e) (Ord.) A covering for a mortar. (f) (Bot.) The hood-shaped upper petal of some flowers, as of monkshood; -- called also helmet. Gray. (g) (Naut.) A covering or porch for a companion hatch. 4. (Shipbuilding)  The endmost plank of a strake which reaches the stem or stern.\n\n1. To cover with a hood; to furnish with a hood or hood-shaped appendage. The friar hooded, and the monarch crowned. Pope. 2. To cover; to hide; to blind. While grace is saying, I'll hood mine eyes Thus with my hat, and sigh and say, \"Amen.\" Shak. Hooding end (Shipbuilding), the end of a hood where it enters the rabbet in the stem post or stern post.
hood molding |A projecting molding over the head of an arch, forming the outermost member of the archivolt; -- called also hood mold.
hood moulding |A projecting molding over the head of an arch, forming the outermost member of the archivolt; -- called also hood mold.
hoodcap |See Hooded seal, under Hooded.
hooded |1. Covered with a hood. 2. Furnished with a hood or something like a hood. 3. Hood-shaped; esp. (Bot.), rolled up like a cornet of paper; cuculate, as the spethe of the Indian turnip. 4. (Zoöl.) (a) Having the head conspicuously different in color from the rest of the plumage; -- said of birds. (b) Having a hoodlike crest or prominence on the head or neck; as, the hooded seal; a hooded snake. Hooded crow, a European crow (Corvus cornix); -- called also hoody, dun crow, and royston crow. -- Hooded gull, the European black-headed pewit or gull. -- Hooded merganser. See Merganser. -- Hooded seal, a large North Atlantic seal (Cystophora cristata). The male has a large, inflatible, hoodlike sac upon the head. Called also hoodcap. -- Hooded sheldrake, the hooded merganser. See Merganser. -- Hooded snake. See Cobra de capello, Asp, Haje, etc. -- Hooded warbler, a small American warbler (Sylvania mitrata).
hoodless |Having no hood.
hoodlum |A young rowdy; a rough, lawless fellow. [Colloq. U.S.]
hoodman |The person blindfolded in the game called hoodman-blind. [Obs.] Shak.
hoodman-blind |An old term for blindman's buff. Shak.
hoodoo |One who causes bad luck. [Colloq.]
hoodwink |1. To blind by covering the eyes. We will blind and hoodwink him. Shak. 2. To cover; to hide. [Obs.] Shak. 3. To deceive by false appearance; to impose upon. \"Hoodwinked with kindness.\" Sir P. Sidney.
hoody |The hooded crow; also, in Scotland, the hooded gull.
hoof |1. The horny substance or case that covers or terminates the feet of certain animals, as horses, oxen, etc. On burnished hooves his war horse trode. Tennyson. 2. A hoofed animal; a beast. Our cattle also shall go with us; there shall not a hoof be left behind. Ex. x. 26. 3. (Geom.)  See Ungula.\n\n1. To walk as cattle. [R.] William Scott. 2. To be on a tramp; to foot. [Slang, U.S.] To hoof it, to foot it.
hoofbound |Having a dry and contracted hoof, which occasions pain and lameness.
hoofed |Furnished with hoofs. Grew.
hoofless |Destitute of hoofs.
hook |1. A piece of metal, or other hard material, formed or bent into a curve or at an angle, for catching, holding, or sustaining anything; as, a hook for catching fish; a hook for fastening a gate; a boat hook, etc. 2. That part of a hinge which is fixed to a post, and on which a door or gate hangs and turns. 3. An implement for cutting grass or grain; a sickle; an instrument for cutting or lopping; a billhook. Like slashing Bentley with his desperate hook. Pope. 4. (Steam Engin.)  See Eccentric, and V-hook. 5. A snare; a trap. [R.] Shak. 6. A field sown two years in succession. [Prov. Eng.] 7. pl.  The projecting points of the thigh bones of cattle; -- called also hook bones. By hook or by crook, one way or other; by any means, direct or indirect. Milton. \"In hope her to attain by hook or crook.\" Spenser. -- Off the hooks, unhinged; disturbed; disordered. [Colloq.] \"In the evening, by water, to the Duke of Albemarle, whom I found mightly off the hooks that the ships are not gone out of the river.\" Pepys. -- On one's own hook, on one's own account or responsibility; by one's self. [Colloq. U.S.] Bartlett. -- To go off the hooks, to die. [Colloq.] Thackeray. -- Bid hook, a small boat hook. -- Chain hook. See under Chain. -- Deck hook, a horizontal knee or frame, in the bow of a ship, on which the forward part of the deck rests. -- Hook and eye, one of the small wire hooks and loops for fastening together the opposite edges of a garment, etc. -- Hook bill (Zoöl.), the strongly curved beak of a bird. -- Hook ladder, a ladder with hooks at the end by which it can be suspended, as from the top of a wall. -- Hook motion (Steam Engin.), a valve gear which is reversed by V hooks. -- Hook squid, any squid which has the arms furnished with hooks, instead of suckers, as in the genera Enoploteuthis and Onychteuthis. -- Hook wrench, a wrench or spanner, having a hook at the end, instead of a jaw, for turning a bolthead, nut, or coupling.\n\n1. To catch or fasten with a hook or hooks; to seize, capture, or hold, as with a hook, esp. with a disguised or baited hook; hence, to secure by allurement or artifice; to entrap; to catch; as, to hook a dress; to hook a trout. Hook him, my poor dear, . . . at any sacrifice. W. Collins. 2. To seize or pierce with the points of the horns, as cattle in attacking enemies; to gore. 3. To steal. [Colloq. Eng. & U.S.] To hook on, to fasten or attach by, or as by, hook.\n\nTo bend; to curve as a hook.
hook-billed |Having a strongly curved bill.
hook-nosed |Having a hooked or aquiline nose. Shak.
hookah |A pipe with a long, flexible stem, so arranged that the smoke is cooled by being made to pass through water.
hooked |1. Having the form of a hookl curvated; as, the hooked bill of a bird. 2. Provided with a hook or hooks. \"The hooked chariot.\" Milton.
hookedness |The state of being bent like a hook; incurvation.
hooker |1. One who, or that which, hooks. 2. (Naut.) (a) A Dutch vessel with two masts. (b) A fishing boat with one mast, used on the coast of Ireland. (c) A sailor's contemptuous term for any antiquated craft. HOOKE'S GEARING Hooke's\" gear\"ing. Etym: [So called from the inventor.] (Mach.)  Spur gearing having teeth slanting across the face of the wheel, sometimes slanting in opposite directions from the middle. HOOKE'S JOINT Hooke's joint. Etym: [So called from the inventor.] (Mach.)  A universal joint. See under Universal.
hookey |See Hockey.
hooklet |A little hook.
hooky |Full of hooks; pertaining to hooks.
hool |Whole. [Obs.] Chaucer.
hoolock |A small black gibbon (Hylobates hoolock), found in the mountains of Assam.
hoom |Home. Chaucer.
hoonoomaun |An Indian monkey. See Entellus. [Written also hoonuman.]
hoop |1. A pliant strip of wood or metal bent in a circular form, and united at the ends, for holding together the staves of casks, tubs, etc. 2. A ring; a circular band; anything resembling a hoop, as the cylinder (cheese hoop) in which the curd is pressed in making cheese. 3. A circle, or combination of circles, of thin whalebone, metal, or other elastic material, used for expanding the skirts of ladies' dresses; crinoline; -- used chiefly in the plural. Though stiff with hoops, and armed with ribs of whale. Pope. 4. A quart pot; -- so called because originally bound with hoops, like a barrel. Also, a portion of the contents measured by the distance between the hoops. [Obs.] 5. An old measure of capacity, variously estimated at from one to four pecks. [Eng.] Halliwell. Bulge hoop, Chine hoop, Quarter hoop, the hoop nearest the middle of a cask, that nearest the end, and the intermediate hoop between these two, respectively. -- Flat hoop, a wooden hoop dressed flat on both sides. -- Half-round hoop, a wooden hoop left rounding and undressed on the outside. -- Hoop iron, iron in thin narrow strips, used for making hoops. -- Hoop lock, the fastening for uniting the ends of wooden hoops by notching and interlocking them. -- Hoop skirt, a framework of hoops for expanding the skirts of a woman's dress; -- called also hoop petticoat. -- Hoop snake (Zoöl.), a harmless snake of the Southern United States (Abaster erythrogrammus); -- so called from the mistaken notion that it curves itself into a hoop, taking its tail into its mouth, and rolls along with great velocity. -- Hoop tree (Bot.), a small West Indian tree (Melia sempervirens), of the Mahogany family.\n\n1. To bind or fasten with hoops; as, to hoop a barrel or puncheon. 2. To clasp; to encircle; to surround. Shak.\n\n1. To utter a loud cry, or a sound imitative of the word, by way of call or pursuit; to shout. [Usually written whoop.] 2. To whoop, as in whooping cough. See Whoop. Hooping cough. (Med.) See Whooping cough.\n\n1. To drive or follow with a shout. \"To be hooped out of Rome.\" Shak. 2. To call by a shout or peculiar cry.\n\n1. A shout; a whoop, as in whooping cough. 2. (Zoöl.)  The hoopoe. See Hoopoe.
hooper |One who hoops casks or tubs; a cooper.\n\nThe European whistling, or wild, swan (Olor cygnus); -- called also hooper swan, whooping swan, and elk.
hoopoe |A European bird of the genus Upupa (U. epops), having a beautiful crest, which it can erect or depress at pleasure. Called also hoop, whoop. The name is also applied to several other species of the same genus and allied genera.
hoopoo |A European bird of the genus Upupa (U. epops), having a beautiful crest, which it can erect or depress at pleasure. Called also hoop, whoop. The name is also applied to several other species of the same genus and allied genera.
hoosier |A nickname given to an inhabitant of the State of Indiana. [U.S.]
hoosier state |Indiana; -- a nickname of obscure origin.
hoot |1. To cry out or shout in contempt. Matrons and girls shall hoot at thee no more. Dryden. 2. To make the peculiar cry of an owl. The clamorous owl that nightly hoots. Shak.\n\nTo assail with contemptuous cries or shouts; to follow with derisive shouts. Partridge and his clan may hoot me for a cheat. Swift.\n\n1. A derisive cry or shout. Glanvill. 2. The cry of an owl. Hoot owl (Zoöl.), the barred owl (Syrnium nebulosum). See Barred owl.
hoove |A disease in cattle consisting in inflammation of the stomach by gas, ordinarily caused by eating too much green food; tympany; bloating.
hooven |Affected with hoove; as, hooven, or hoven, cattle.
hop |1. To move by successive leaps, as toads do; to spring or jump on one foot; to skip, as birds do. [Birds] hopping from spray to spray. Dryden. 2. To walk lame; to limp; to halt. Dryden. 3. To dance. Smollett.\n\n1. A leap on one leg, as of a boy; a leap, as of a toad; a jump; a spring. 2. A dance; esp., an informal dance of ball. [Colloq.] Hop, skip (or step), and jump, a game or athletic sport in which the participants cover as much ground as possible by a hop, stride, and jump in succession. Addison.\n\n1. (Bot.)  A climbing plant (Humulus Lupulus), having a long, twining, annual stalk. It is cultivated for its fruit (hops). 2. The catkin or strobilaceous fruit of the hop, much used in brewing to give a bitter taste. 3. The fruit of the dog-rose. See Hip. Hop back. (Brewing) See under 1st Back. -- Hop clover (Bot.), a species of yellow clover having heads like hops in miniature (Trifolium agrarium, and T. procumbens). -- Hop flea (Zoöl.), a small flea beetle (Haltica concinna), very injurious to hops. -- Hop fly (Zoöl.), an aphid (Phorodon humuli), very injurious to hop vines. -- Hop froth fly (Zoöl.), an hemipterous insect (Aphrophora interrupta), allied to the cockoo spits. It often does great damage to hop vines. -- Hop hornbeam (Bot.), an American tree of the genus Ostrya (O.Virginica) the American ironwood; also, a European species (O. vulgaris). -- Hop moth (Zoöl.), a moth (Hypena humuli), which in the larval state is very injurious to hop vines. -- Hop picker, one who picks hops. -- Hop pole, a pole used to support hop vines. -- Hop tree (Bot.), a small American tree (Ptelia trifoliata), having broad, flattened fruit in large clusters, sometimes used as a substitute for hops. -- Hop vine (Bot.), the climbing vine or stalk of the hop.\n\nTo impregnate with hops. Mortimer.\n\nTo gather hops. [Perhaps only in the form Hopping, vb. n.]
hop-thumb |See Hop-o'-my-thumb.
hopbind |The climbing stem of the hop. Blackstone.
hopbine |The climbing stem of the hop. Blackstone.
hope |1. A sloping plain between mountain ridges. [Obs.] 2. A small bay; an inlet; a haven. [Scot.] Jamieson.\n\n1. A desire of some good, accompanied with an expectation of obtaining it, or a belief that it is obtainable; an expectation of something which is thought to be desirable; confidence; pleasing expectancy. The hypocrite's hope shall perish. Job vii. 13. He wished, but not with hope. Milton. New thoughts of God, new hopes of Heaven. Keble. 2. One who, or that which, gives hope, furnishes ground of expectation, or promises desired good. The Lord will be the hope of his people. Joel iii. 16. A young gentleman of great hopes, whose love of learning was highly commendable. Macaulay. 3. That which is hoped for; an object of hope. Lavina is thine elder brother's hope. Shak.\n\n1. To entertain or indulge hope; to cherish a desire of good, or of something welcome, with expectation of obtaining it or belief that it is obtainable; to expect; -- usually followed by for. \"Hope for good success.\" Jer. Taylor. But I will hope continually. Ps. lxxi. 14. 2. To place confidence; to trust with confident expectation of good; -- usually followed by in. \"I hope in thy word.\" Ps. cxix. 81. Why art thou cast down, O my soul and why art thou disquieted within me Hope thou in God. Ps. xlii. 11.\n\n1. To desire with expectation or with belief in the possibility or prospect of obtaining; to look forward to as a thing desirable, with the expectation of obtaining it; to cherish hopes of. We hope no other from your majesty. Shak. [Charity] hopeth all things. 1 Cor. xiii. 7. 2. To expect; to fear. [Obs.] \"I hope he will be dead.\" Chaucer. Note: Hope is often used colloquially regarding uncertainties, with no reference to the future. \"I hope she takes me to be flesh and blood.\" Mrs. Centlivre.
hopeful |1. Full of hope, or agreeable expectation; inclined to hope; expectant. Men of their own natural inclination hopeful and strongly conceited. Hooker. 2. Having qualities which excite hope; affording promise of good or of success; as, a hopeful youth; a hopeful prospect. \"Hopeful scholars.\" Addison. -- Hope\"ful*ly, adv. -- Hope\"ful*ness, n.
hopeite |A hydrous phosphate of zinc in transparent prismatic crystals.
hopeless |1. Destitute of hope; having no expectation of good; despairing. I am a woman, friendless, hopeless. Shak. 2. Giving no ground of hope; promising nothing desirable; desperate; as, a hopeless cause. The hopelessword of \"never to return\" Breathe I against thee, upon pain of life. Shak. 3. Unhoped for; despaired of. [Obs.] Marston. -- Hope\"less*ly, adv. -- Hope\"less*ness, n.
hoper |One who hopes. Swift.
hopingly |In a hopeful manner. Hammond.
hoplite |A heavy-armed infantry soldier. Milford. HOP-O'-MY-THUMB; HOP-THUMB Hop\"-o'-my-thumb\| Hop\"-thumb\"| n.  A very diminutive person. [Colloq.] liwell."
hopped |Impregnated with hops.
hopper |1. One who, or that which, hops. 2. A chute, box, or receptacle, usually funnel-shaped with an opening at the lower part, for delivering or feeding any material, as to a machine; as, the wooden box with its trough through which grain passes into a mill by joining or shaking, or a funnel through which fuel passes into a furnace, or coal, etc., into a car. 3. (Mus.)  See Grasshopper, 2. 4. pl.  A game. See Hopscotch. Johnson. 5. (Zoöl.) (a) See Grasshopper, and Frog hopper, Grape hopper, Leaf hopper, Tree hopper, under Frog, Grape, Leaf, and Tree. (b) The larva of a cheese fly. 6. (Naut.)  A vessel for carrying waste, garbage, etc., out to sea, so constructed as to discharge its load by a mechanical contrivance; -- called also dumping scow. Bell and hopper (Metal.), the apparatus at the top of a blast furnace, through which the charge is introduced, while the gases are retained. -- Hopper boy, a rake in a mill, moving in a circle to spread meal for drying, and to draw it over an opening in the floor, through which it falls. -- Hopper closet, a water-closet, without a movable pan, in which the receptacle is a funnel standing on a draintrap. -- Hopper cock, a faucet or valve for flushing the hopper of a water-closet.
hopperdozer |An appliance for the destruction of insects, consisting of a shallow iron box, containing kerosene or coated with tar or other sticky substance, which may be mounted on wheels.
hopperings |Gravel retaining in the hopper of a cradle.
hoppestere |An unexplained epithet used by Chaucer in reference to ships. By some it is defined as \"dancing (on the wave)\"; by others as \"opposing,\" \"warlike.\" T. R. Lounsbury.
hoppet |1. A hand basket; also, a dish used by miners for measuring ore. [Prov. Eng.] 2. An infant in arms. [Prov. Eng.] Halliwell.
hopping |The act of one who, or that which, hops; a jumping, frisking, or dancing. Hopping Dick (Zoöl.), a thrush of Jamaica (Merula leucogenys), resembling the English blackbird in its familiar manners, agreeable song, and dark plumage.\n\nA gathering of hops.
hopple |1. To impede by a hopple; to tie the feet of (a horse or a cow) loosely together; to hamper; to hobble; as, to hopple an unruly or straying horse. 2. Fig.: To entangle; to hamper. Dr. H. More.\n\nA fetter for horses, or cattle, when turned out to graze; -- chiefly used in the plural.
hopplebush |Same as Hobblebush.
hoppo |(a) A collector of customs, as at Canton; an overseer of commerce. (b) A tribunal or commission having charge of the revenue derived from trade and navigation. [China] Hoppo men, Chinese customhouse officers.
hopscotch |A child's game, in which a player, hopping on one foot, drives a stone from one compartment to another of a figure traced or scotched on the ground; -- called also hoppers.
hopyard |A field where hops are raised.
horal |Of or pertaining to an hour, or to hours. Prior.
horaly |Hourly. [Obs.]
horary |1. Of or pertaining to an hour; noting the hours. Spectator. 2. Occurring once an hour; continuing an hour; hourly; ephemeral. Horary, or soon decaying, fruits of summer. Sir T. Browne. Horary circles. See Circles.
horatian |Of or pertaining to Horace, the Latin poet, or resembling his style.
horde |A wandering troop or gang; especially, a clan or tribe of a nomadic people migrating from place to place for the sake of pasturage, plunder, etc.; a predatory multitude. Thomson.
hordeic |Pertaining to, or derived from, barley; as, hordeic acid, an acid identical or isomeric with lauric acid.
hordein |A peculiar starchy matter contained in barley. It is complex mixture. [R.]
hordeolum |A small tumor upon the eyelid, resembling a grain of barley; a sty.
hordock |An unidentified plant mentioned by Shakespeare, perhaps equivalent to burdock.
hore |Hoar. [Obs.] Chaucer.
horehound |A plant of the genus Marrubium (M. vulgare), which has a bitter taste, and is a weak tonic, used as a household remedy for colds, coughing, etc. [Written also hoarhound.] Fetid horehound, or Black horehound, a disagreeable plant resembling horehound (Ballota nigra). -- Water horehound, a species of the genus Lycopus, resembling mint, but not aromatic.
horizon |1. The circle which bounds that part of the earth's surface visible to a spectator from a given point; the apparent junction of the earth and sky. And when the morning sun shall raise his car Above the border of this horizon. Shak. All the horizon round Invested with bright rays. Milton. 2. (Astron.) (a) A plane passing through the eye of the spectator and at right angles to the vertical at a given place; a plane tangent to the earth's surface at that place; called distinctively the sensible horizon. (b) A plane parallel to the sensible horizon of a place, and passing through the earth's center; -- called also rational or celestial horizon. (c) (Naut.) The unbroken line separating sky and water, as seen by an eye at a given elevation, no land being visible. 3. (Geol.)  The epoch or time during which a deposit was made. The strata all over the earth, which were formed at the same time, are said to belong to the same geological horizon. Le Conte. 4. (Painting)  The chief horizontal line in a picture of any sort, which determines in the picture the height of the eye of the spectator; in an extended landscape, the representation of the natural horizon corresponds with this line. Apparent horizon. See under Apparent. -- Artificial horizon, a level mirror, as the surface of mercury in a shallow vessel, or a plane reflector adjusted to the true level artificially; -- used chiefly with the sextant for observing the double altitude of a celestial body. -- Celestial horizon. (Astron.) See def. 2, above. -- Dip of the horizon (Astron.), the vertical angle between the sensible horizon and a line to the visible horizon, the latter always being below the former. -- Rational horizon, and Sensible horizon. (Astron.) See def. 2, above. -- Visible horizon. See definitions 1 and 2, above.
horizontal |1. Pertaining to, or near, the horizon. \"Horizontal misty air.\" Milton. 2. Parallel to the horizon; on a level; as, a horizontalline or surface. 3. Measured or contained in a plane of the horizon; as, horizontal distance. Horizontal drill, a drilling machine having a horizontal drill spindle. -- Horizontal engine, one the piston of which works horizontally. -- Horizontal fire (Mil.), the fire of ordnance and small arms at point-blank range or at low angles of elevation. -- Horizontal force (Physics), the horizontal component of the earth's magnetic force. -- Horizontal line (Descriptive Geometry & Drawing), a constructive line, either drawn or imagined, which passes through the point of sight, and is the chief line in the projection upon which all verticals are fixed, and upon which all vanishing points are found. -- Horizontal parallax. See under Parallax. -- Horizontal plane (Descriptive Geometry), a plane parallel to the horizon, upon which it is assumed that objects are projected. See Projection. It is upon the horizontal plane that the ground plan of the buildings is supposed to be drawn. -- Horizontal projection, a projection made on a plane parallel to the horizon. -- Horizontal range (Gunnery), the distance in a horizontal plane to which a gun will throw a projectile. -- Horizontal water wheel, a water wheel in which the axis is vertical, the buckets or floats revolving in a horizontal plane, as in most turbines.
horizontality |The state or quality of being horizontal. Kirwan.
horizontally |In a horizontal direction or position; on a level; as, moving horizontally.
hormogonium |A chain of small cells in certain algæ, by which the plant is propogated.
hormone |A chemical substance formed in one organ and carried in the circulation to another organ on which it exerts a stimulating effect; thus, according to Starling, the gastric glands are stimulated by a hormone from the pyloric mucous membrane.
